date,open,high,low,close,volume
2024-01-05,3341.3061,3372.5444,3313.5542,3329.1114,12640057400
2024-01-08,3322.6051,3333.5160,3283.3421,3286.0564,11742948500
2024-01-09,3286.7083,3304.6008,3273.8431,3292.4994,10933046500
2024-01-10,3281.6692,3312.9161,3268.2471,3277.1290,9419936600
2024-01-11,3275.3086,3311.1137,3266.7911,3295.6717,10878973500
2024-01-12,3284.3580,3310.4704,3279.6987,3284.1667,9685355500
2024-01-15,3270.1029,3306.9217,3261.2687,3280.9195,8885153000
2024-01-16,3272.5710,3300.8762,3260.4362,3300.8762,11327666500
2024-01-17,3291.1392,3291.1392,3229.0820,3229.0820,10876972800
2024-01-18,3214.2844,3279.2538,3171.6329,3274.7286,17490916800
2024-01-19,3261.2393,3286.9415,3251.8136,3269.7763,11850140800
2024-01-22,3262.4685,3281.4205,3193.1776,3218.9016,14870562800
2024-01-23,3208.4316,3249.5306,3188.1259,3231.9329,12201200000
2024-01-24,3245.9592,3281.4892,3190.4674,3277.1089,15437195400
2024-01-25,3274.3391,3344.2426,3269.7943,3342.9189,19683361400
2024-01-26,3326.6465,3351.9692,3315.1265,3333.8213,18066400500
2024-01-29,3335.3936,3351.3715,3303.9604,3303.9604,18416479500
2024-01-30,3283.8977,3300.2040,3244.9719,3245.0387,14364935000
2024-01-31,3231.5425,3252.1475,3201.9264,3215.3518,15314346900
2024-02-01,3202.2564,3251.7582,3191.8968,3217.7109,14551679200
2024-02-02,3219.8734,3235.4079,3108.3515,3179.6276,17375808900
2024-02-05,3164.2500,3233.8485,3111.5184,3200.4218,20304297000
2024-02-06,3185.2498,3314.5120,3182.8216,3311.6922,20271309900
2024-02-07,3314.0306,3343.6303,3289.6704,3343.6303,21664793300
2024-02-08,3351.4052,3367.2101,3336.9779,3364.9297,18997757800
2024-02-19,3393.1916,3403.8078,3364.1418,3403.8078,18331980000
2024-02-20,3395.1916,3415.8943,3380.1030,3410.8542,14073458100
2024-02-21,3390.3619,3500.1338,3383.6911,3456.8713,18887936200
2024-02-22,3450.3518,3486.6826,3448.4135,3486.6747,14102078400
2024-02-23,3491.3367,3507.5592,3472.9680,3489.7416,14482127300
2024-02-26,3485.5427,3492.6061,3445.3889,3453.3585,15124833100
2024-02-27,3440.0516,3494.7874,3437.4422,3494.7874,13952824600
2024-02-28,3499.8257,3521.6574,3450.2598,3450.2598,18983754800
2024-02-29,3437.8984,3516.0826,3437.8984,3516.0826,15594453200
2024-03-01,3515.0587,3544.3595,3503.4590,3537.8038,16270957000
2024-03-04,3538.3660,3548.6901,3519.7599,3540.8686,16324461300
2024-03-05,3524.9644,3570.6935,3519.0816,3565.5143,16642238900
2024-03-06,3556.5323,3577.3883,3545.1013,3551.0481,14307661300
2024-03-07,3548.1007,3569.9185,3522.8964,3529.7195,14811051000
2024-03-08,3529.5509,3548.5055,3511.5770,3544.9099,12579266400
2024-03-11,3545.9427,3589.2635,3542.2789,3589.2635,14820282500
2024-03-12,3592.5826,3605.6976,3574.2117,3597.4939,18068556000
2024-03-13,3594.4211,3594.4211,3563.3685,3572.3610,14459059000
2024-03-14,3571.7885,3597.4600,3545.6120,3562.2229,14096272200
2024-03-15,3554.9068,3572.8091,3533.6798,3569.9930,13831604400
2024-03-18,3577.0564,3604.0519,3573.4040,3603.5280,16037943800
2024-03-19,3593.3396,3610.7389,3577.1880,3577.6303,14557178600
2024-03-20,3568.7158,3589.5456,3568.4341,3585.3838,12952896600
2024-03-21,3593.0700,3601.1145,3575.0331,3581.0902,13074337700
2024-03-22,3571.2736,3575.7171,3522.8404,3545.0023,13922735800
2024-03-25,3536.7136,3564.9604,3525.7634,3525.7634,13701572400
2024-03-26,3526.6818,3547.6461,3518.6018,3543.7467,12620953500
2024-03-27,3538.7244,3542.9624,3502.7866,3502.7866,12862676300
2024-03-28,3498.4820,3551.2143,3489.3861,3520.9648,14333471700
2024-03-29,3516.8830,3538.2378,3516.8830,3537.4843,12864329000
2024-04-01,3551.5815,3600.9193,3551.5815,3595.6466,16277656100
2024-04-02,3593.2206,3596.1903,3568.7539,3580.6759,14127297200
2024-04-03,3578.6835,3582.4324,3558.8740,3567.8031,13559233100
2024-04-08,3553.5554,3567.8200,3535.7688,3536.4077,15530428300
2024-04-09,3533.3849,3543.7141,3518.8601,3533.4871,12967094200
2024-04-10,3528.9679,3531.2295,3490.0525,3504.7086,12879027400
2024-04-11,3485.0294,3520.5893,3484.9252,3504.2447,12653439500
2024-04-12,3505.7499,3516.6988,3470.0611,3475.8389,12892111600
2024-04-15,3473.5047,3552.4125,3473.5047,3549.0759,18394125000
2024-04-16,3533.3636,3545.5034,3503.6158,3511.1146,17615306500
2024-04-17,3509.1318,3565.9389,3498.0324,3565.4030,16846639800
2024-04-18,3550.5562,3602.7902,3547.5996,3569.8018,17857410500
2024-04-19,3550.6087,3560.9492,3529.3237,3541.6619,14728150500
2024-04-22,3536.1844,3558.1642,3528.0186,3530.9045,15057904200
2024-04-23,3525.6681,3533.7584,3499.9838,3506.2249,14311350400
2024-04-24,3514.0108,3524.5370,3495.6494,3521.6219,12173985100
2024-04-25,3510.6396,3543.9699,3505.1999,3530.2813,11518772200
2024-04-26,3531.9647,3588.4003,3531.9647,3584.2686,19721613300
2024-04-29,3584.5427,3645.8229,3578.7597,3623.9124,22272138100
2024-04-30,3619.2586,3630.7092,3604.3943,3604.3943,19129689900
2024-05-06,3654.0485,3668.2565,3645.7380,3657.8767,20801800700
2024-05-07,3657.0007,3665.6840,3648.3760,3659.0076,16483428600
2024-05-08,3650.7484,3650.9355,3628.6984,3630.2233,13003533600
2024-05-09,3630.4142,3669.7593,3630.4142,3664.5610,14655901700
2024-05-10,3669.0869,3674.6088,3641.7639,3666.2771,15072053600
2024-05-13,3646.3491,3673.6211,3634.6049,3664.6907,15726745500
2024-05-14,3668.2254,3675.7760,3646.7092,3657.0454,13340649000
2024-05-15,3651.0536,3656.5277,3624.0020,3626.0559,12352276400
2024-05-16,3636.6007,3657.4831,3626.3340,3640.3592,15463050300
2024-05-17,3638.5613,3677.9696,3627.4470,3677.9696,16457041700
2024-05-20,3682.0615,3703.0287,3677.4426,3690.9623,18460942300
2024-05-21,3682.2868,3684.6106,3665.1524,3676.1611,13067828300
2024-05-22,3675.6471,3691.8804,3667.0885,3684.4510,15191460500
2024-05-23,3672.8403,3674.3654,3633.5051,3641.7917,14257299000
2024-05-24,3630.8270,3650.8734,3599.6678,3601.4754,12479117700
2024-05-27,3606.6450,3638.1514,3603.7131,3635.7079,13127264400
2024-05-28,3633.2535,3638.9703,3605.9213,3609.1724,12353223800
2024-05-29,3609.0708,3633.1971,3602.8198,3613.5223,11590632100
2024-05-30,3607.0522,3624.0352,3586.7543,3594.3121,12260299500
2024-05-31,3599.8196,3614.6439,3579.9247,3579.9247,11246201900
