债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间,信用评级
110094,众和转债,2023-07-18,733888,100,600888,新疆众和,7.81,6.65,117.4436,140.974,20.04,2023-07-17,1.018,13.75,2023-07-20,0.00389776,2023-08-14,AA
127089,晶澳转债,2023-07-18,072459,100,002459,晶澳科技,12.68,11.66,108.7479,128.96,18.62,2023-07-17,2.7067,89.603077,2023-07-20,0.0241433531,2023-08-04,AA+
113672,福蓉转债,2023-07-18,754327,100,603327,福蓉科技,10.37,8.17,126.9278,149.147,17.51,2023-07-17,0.944,6.4,2023-07-20,0.00073622,2023-08-10,AA
113673,岱美转债,2023-07-18,754730,100,603730,岱美股份,6.07,7.37,82.3609,126.309,53.36,2023-07-17,0.714,9.07939,2023-07-20,0.00061925,2023-08-10,AA
118038,金宏转债,2023-07-17,718106,100,688106,金宏气体,18.99,18.97,100.1054,133.007,32.89,2023-07-14,2.111,10.16,2023-07-19,0.00221597,2023-08-10,AA-
123205,大叶转债,2023-07-17,370879,100,300879,大叶股份,36.28,,,100.0,,2023-07-14,2.9751,4.760312,2023-07-19,0.0007488107,2023-08-08,A+
123204,金丹转债,2023-07-13,370829,100,300829,金丹科技,19.26,,,100.0,,2023-07-12,3.8747,7.0,2023-07-17,0.0015047031,2023-08-02,AA-
113671,武进转债,2023-07-10,754878,100,603878,武进不锈,5.8,7.93,73.14,126.009,72.28,2023-07-07,0.552,3.1,2023-07-12,0.00072475,2023-08-03,AA
111015,东亚转债,2023-07-06,713177,100,605177,东亚药业,21.16,20.28,104.3393,129.325,23.79,2023-07-05,6.073,6.9,2023-07-10,0.00141941,2023-08-02,A+
118037,上声转债,2023-07-06,718533,100,688533,上声电子,29.38,29.11,100.9275,134.151,32.92,2023-07-05,3.25,5.2,2023-07-10,0.00074907,2023-08-01,A+
127088,赫达转债,2023-07-03,072810,100,002810,山东赫达,14.06,16.85,83.5015,126.126,51.05,2023-06-30,1.7521,6.0,2023-07-05,0.0019329397,2023-07-19,AA-
123203,明电转02,2023-07-03,370739,100,300739,明阳电路,17.4,11.78,147.708,169.18,14.54,2023-06-30,1.5011,4.485,2023-07-05,0.0010565991,2023-07-19,AA-
123202,祥源转债,2023-07-03,370980,100,300980,祥源新材,24.51,,,100.0,,2023-06-30,4.2652,4.6,2023-07-05,0.0012570425,2023-07-26,A+
