债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间,信用评级
111021,奥锐转债,2024-07-26,713116,100,605116,奥锐特,23.23,24.94,93.1435,128.069,37.5,2024-07-25,1.999,8.1212,2024-07-30,0.00154693,2024-08-15,AA-
111020,合顺转债,2024-07-22,713166,100,605166,聚合顺,12.34,10.59,116.525,138.48,18.79,2024-07-19,1.071,3.38,2024-07-24,0.00085277,2024-08-15,AA-
113687,振华转债,2024-07-12,754067,100,603067,振华股份,16.27,8.2,198.4146,231.717,16.78,2024-07-11,0.801,4.0621,2024-07-16,0.00133007,2024-08-02,AA
123243,严牌转债,2024-07-10,371081,100,301081,严牌股份,11.05,7.27,151.9945,153.701,1.12,2024-07-09,2.2845,4.678889,2024-07-12,0.0010868486,2024-07-26,A+
123242,赛龙转债,2024-07-08,371131,100,301131,聚赛龙,53.03,36.4,145.6868,153.995,5.73,2024-07-05,5.2323,2.5,2024-07-10,0.0008402282,2024-07-29,A+
123241,欧通转债,2024-07-05,370870,100,300870,欧陆通,162.5,43.98,369.4862,385.8,4.13,2024-07-04,6.4747,6.445265,2024-07-09,0.0026145421,2024-07-26,AA-
113686,泰瑞转债,2024-07-02,754289,100,603289,泰瑞机器,10.25,8.15,125.7669,142.113,13.0,2024-07-01,1.147,3.378,2024-07-04,0.00058458,2024-07-24,AA-
118048,利扬转债,2024-07-02,718135,100,688135,利扬芯片,21.4,16.12,132.7543,155.058,16.8,2024-07-01,2.595,5.2,2024-07-04,0.00446186,2024-07-19,A+
113685,升24转债,2024-06-14,754305,100,603305,旭升集团,13.88,12.51,110.9512,131.405,18.43,2024-06-13,3.0,28.0,2024-06-18,0.03292173,2024-07-10,AA-
111019,宏柏转债,2024-04-17,713366,100,605366,宏柏新材,6.48,5.46,118.6813,135.015,13.79,2024-04-16,1.567,9.6,2024-04-19,0.00419888,2024-05-14,AA-
113684,湘泵转债,2024-04-01,754319,100,603319,美湖股份,34.34,,,100.0,,2024-03-29,2.775,5.7739,2024-04-03,0.00159843,2024-04-29,AA-
113683,伟24转债,2024-03-28,754568,100,603568,伟明环保,19.11,17.55,108.8889,137.987,26.73,2024-03-27,0.168,2.85,2024-04-01,0.00033243,2024-04-22,AA
113682,益丰转债,2024-03-04,754939,100,603939,益丰药房,23.85,32.14,74.2066,122.3,64.81,2024-03-01,1.778,17.97432,2024-03-06,0.01059669,2024-03-27,AA
127105,龙星转债,2024-02-01,072442,100,002442,龙星科技,6.49,5.8,112.069,131.287,17.17,2024-01-31,1.5377,7.547539,2024-02-05,0.0054914743,2024-03-06,AA-
123240,楚天转债,2024-01-31,370358,100,300358,楚天科技,8.9,8.0,111.25,132.035,18.7,2024-01-30,1.694,10.0,2024-02-02,0.0043068188,2024-02-29,AA
127104,姚记转债,2024-01-25,072605,100,002605,姚记科技,26.69,20.08,132.8685,168.161,26.57,2024-01-24,1.415,5.831273,2024-01-29,0.0018660693,2024-02-26,A+
123239,锋工转债,2024-01-19,370488,100,300488,恒锋工具,35.65,24.19,147.3749,163.713,11.08,2024-01-18,3.7421,6.2,2024-01-23,0.0007342904,2024-02-22,A+
123238,卡倍转02,2024-01-11,370863,100,300863,卡倍亿,36.17,,,100.0,,2024-01-10,5.9518,5.29,2024-01-15,0.0008165958,2024-02-01,A+
123237,佳禾转债,2024-01-04,370793,100,300793,佳禾智能,18.75,13.46,139.3016,149.5,7.32,2024-01-03,2.967,10.04,2024-01-08,0.0042312552,2024-01-24,A+
127103,东南转债,2024-01-03,072135,100,002135,东南网架,4.43,5.6,79.1071,112.438,42.13,2024-01-02,1.7411,20.0,2024-01-05,0.0063762297,2024-01-24,AA
113681,镇洋转债,2023-12-29,754213,100,603213,镇洋发展,13.83,11.2,123.4821,138.183,11.91,2023-12-28,1.517,6.6,2024-01-03,0.00098724,2024-01-17,AA-
111018,华康转债,2023-12-25,713077,100,605077,华康股份,17.49,16.46,106.2576,132.101,24.32,2023-12-22,5.554,13.03023,2023-12-27,0.00278331,2024-01-15,AA-
127102,浙建转债,2023-12-25,072761,100,002761,浙江建投,9.64,10.91,88.3593,124.259,40.63,2023-12-22,0.9247,10.0,2023-12-27,0.005139885,2024-01-16,AA+
123236,家联转债,2023-12-22,371193,100,301193,家联科技,19.17,15.33,125.0489,140.823,12.63,2023-12-21,3.9062,7.5,2023-12-26,0.0009433278,2024-01-18,AA-
113069,博23转债,2023-12-22,783137,100,601137,博威合金,22.08,14.68,150.2725,166.529,10.65,2023-12-21,2.178,17.0,2023-12-26,0.00671801,2024-01-18,AA
127101,豪鹏转债,2023-12-22,071283,100,001283,豪鹏科技,70.45,50.22,140.2828,139.632,-0.46,2023-12-21,13.3667,11.0,2023-12-26,0.0043906434,2024-01-11,AA-
127100,神码转债,2023-12-21,070034,100,000034,神州数码,40.82,,,100.0,,2023-12-20,2.0487,13.38999,2023-12-25,0.0044770632,2024-01-19,AA
123235,亿田转债,2023-12-21,370911,100,300911,亿田智能,52.51,21.31,246.4101,248.63,0.93,2023-12-20,4.8732,5.2021,2023-12-25,0.0010338434,2024-01-12,AA-
118046,诺泰转债,2023-12-15,718076,100,688076,诺泰生物,46.05,,,100.0,,2023-12-14,2.035,4.34,2023-12-19,0.00172269,2024-01-18,A+
123234,中能转债,2023-12-11,370062,100,300062,中能电气,5.72,5.5,104.0,130.221,25.08,2023-12-08,0.7173,4.0,2023-12-13,0.001357269,2023-12-29,A+
127099,盛航转债,2023-12-06,071205,100,001205,盛航股份,16.54,15.48,106.8475,132.649,24.15,2023-12-05,4.328,7.4,2023-12-08,0.0027218265,2023-12-28,AA-
123233,凯盛转债,2023-11-29,371069,100,301069,凯盛新材,21.98,20.01,109.8451,135.471,23.33,2023-11-28,1.5452,6.5,2023-12-01,0.0012234346,2023-12-15,AA-
123232,金现转债,2023-11-27,370830,100,300830,金现代,13.14,9.35,140.5347,155.414,10.66,2023-11-24,0.4708,2.025125,2023-11-29,0.0014685712,2023-12-19,A+
127098,欧晶转债,2023-11-24,071269,100,001269,欧晶科技,27.37,42.0,65.1667,118.737,82.26,2023-11-23,2.4428,4.7,2023-11-28,0.0017127732,2023-12-15,AA-
113680,丽岛转债,2023-11-15,754937,100,603937,丽岛新材,10.88,12.91,84.2758,125.118,48.53,2023-11-14,1.436,3.0,2023-11-17,0.00048969,2023-12-05,A+
123230,金钟转债,2023-11-09,371133,100,301133,金钟股份,25.18,24.35,103.4086,130.925,26.58,2023-11-08,3.2988,3.5,2023-11-13,0.0004519079,2023-12-01,A
123231,信测转债,2023-11-09,370938,100,300938,信测标准,24.78,18.22,136.0044,134.819,-0.87,2023-11-08,4.7895,5.45,2023-11-13,0.0010515875,2023-11-29,AA-
127097,三羊转债,2023-10-26,071317,100,001317,三羊马,48.62,37.43,129.8958,149.691,15.27,2023-10-25,2.6236,2.1,2023-10-30,0.0004248122,2023-11-17,A+
113679,芯能转债,2023-10-26,754105,100,603105,芯能科技,8.43,12.75,66.1176,119.195,80.23,2023-10-25,1.76,8.8,2023-10-30,0.00265816,2023-11-24,AA-
127096,泰坦转债,2023-10-25,073036,100,003036,泰坦股份,17.61,13.27,132.63,150.402,13.43,2023-10-24,1.368,2.955,2023-10-27,0.0004295598,2023-11-15,A
123229,艾录转债,2023-10-23,371062,100,301062,上海艾录,8.77,10.05,87.2637,130.798,49.89,2023-10-20,1.2487,5.0,2023-10-25,0.0015666985,2023-11-20,A+
123228,震裕转债,2023-10-20,370953,100,300953,震裕科技,113.88,,,100.0,,2023-10-19,11.6264,11.95,2023-10-24,0.0033437479,2023-11-09,AA-
123227,雅创转债,2023-10-20,371099,100,301099,雅创电子,39.35,,,100.0,,2023-10-19,4.5375,3.63,2023-10-24,0.0008851171,2023-11-10,A+
113678,中贝转债,2023-10-19,754220,100,603220,中贝通信,21.95,20.95,104.7733,137.913,31.63,2023-10-18,1.537,5.17,2023-10-23,0.00148949,2023-11-21,A+
