日期,="A股全指.市值(左1)(单位: 元)",="A股全指.收盘点位",="宏观.大陆-GDP(累计)(左1)(单位: 元)",="巴菲特指标 市值/GDP"
2018-06-01,=58782752167808.6250,=4488.9200,,=0.7065
2018-05-25,=60376030685530.0938,=4614.4700,,=0.7256
2018-05-18,=61448109811242.0313,=4685.9000,,=0.7385
2018-05-11,=61094181963786.7656,=4666.5000,,=0.7343
2018-05-04,=59713635109998.7422,=4571.4000,,=0.7177
2018-04-27,=59501048548837.6250,=4548.4200,,=0.7151
2018-04-20,=59388996933613.2656,=4556.7100,,=0.7138
2018-04-13,=61159062934464.0078,=4688.6200,,=0.7351
2018-04-04,=60708512856929.0234,=4676.6100,,=0.7296
2018-03-30,=61535800891357.8047,=4731.0300,,=0.7396
2018-03-23,=60402420983701.7422,=4604.9000,,=0.7260
2018-03-16,=62891629413120.1953,=4828.5000,,=0.7559
2018-03-09,=63673845585194.9375,=4876.4600,,=0.7653
2018-03-02,=62264344552818.8359,=4751.9400,,=0.7483
2018-02-23,=61905432835602.8047,=4709.7300,,=0.7440
2018-02-14,=60329780200490.7656,=4600.6100,,=0.7251
2018-02-09,=58730201685995.5469,=4457.4600,,=0.7059
2018-02-02,=64643561185385.5703,=4874.8100,,=0.7769
2018-01-26,=67197241261458.0313,=5126.6100,,=0.8076
2018-01-19,=65854341130049.8438,=5036.9900,,=0.7915
2018-01-12,=65108809067853.4453,=5057.9100,,=0.7825
2018-01-05,=64500769546210.3906,=5020.4900,,=0.7752
2017-12-31,,,=83203594855991.7969,=0.7390
2017-12-29,=61485392269851.1328,=4898.9000,,=0.8238
2017-12-22,=61296501274039.1797,=4915.8000,,=0.8212
2017-12-15,=60754635977513.4141,=4889.4400,,=0.8140
2017-12-08,=60883072923673.9375,=4889.2300,,=0.8157
2017-12-01,=61387815300260.0781,=4929.9200,,=0.8225
2017-11-24,=61923556661761.3359,=4973.5100,,=0.8296
2017-11-17,=62398218929152.3125,=5026.9900,,=0.8360
2017-11-10,=63694632679147.5703,=5145.6900,,=0.8534
2017-11-03,=62359765065867.4297,=5003.1700,,=0.8355
2017-10-27,=63327350881779.5469,=5109.6800,,=0.8484
2017-10-20,=62600094132437.3359,=5036.9300,,=0.8387
2017-10-13,=63067110434032.9219,=5100.5500,,=0.8450
2017-09-29,=61994014135768.0938,=5002.5500,,=0.8306
2017-09-22,=61998211670263.3828,=5001.3200,,=0.8306
2017-09-15,=61926207299249.1797,=5010.1500,,=0.8297
2017-09-08,=62039114424760.5938,=4993.1900,,=0.8312
2017-09-01,=61762028767801.0938,=4972.2500,,=0.8275
2017-08-25,=61022509990886.9219,=4887.1100,,=0.8176
2017-08-18,=60084203170785.3672,=4845.8600,,=0.8050
2017-08-11,=58689293389450.3750,=4720.9200,,=0.7863
2017-08-04,=59542047182130.5078,=4782.9500,,=0.7977
2017-07-28,=59497881790270.9766,=4790.2300,,=0.7971
2017-07-21,=58946623650296.9531,=4754.6100,,=0.7898
2017-07-14,=59141988948449.3594,=4781.4700,,=0.7924
2017-07-07,=59370186313343.5781,=4808.6300,,=0.7954
2017-06-30,=57221375199986.8125,=4772.1400,,=0.7666
2017-06-23,=56604572134760.5469,=4708.6200,,=0.7584
2017-06-16,=56016233469492.8438,=4661.4300,,=0.7505
2017-06-09,=56361045556477.3203,=4674.9400,,=0.7551
2017-06-02,=55063077725614.5547,=4536.5500,,=0.7377
2017-05-26,=55298283041073.9922,=4569.9700,,=0.7409
2017-05-19,=55315075103936.5391,=4599.6100,,=0.7411
2017-05-12,=54884456834637.2422,=4540.4700,,=0.7353
2017-05-05,=55580320013148.7344,=4637.6800,,=0.7447
2017-04-28,=56483356278692.5781,=4718.1300,,=0.7567
2017-04-21,=56828874979907.6172,=4768.2500,,=0.7614
2017-04-14,=58251218378505.4844,=4901.2300,,=0.7804
2017-04-07,=59071403972776.2422,=4970.4000,,=0.7914
2017-03-31,=57865851584026.3359,=4863.5100,,=0.7753
2017-03-24,=58866226319949.6875,=4962.3700,,=0.7887
2017-03-17,=58381550726912.0313,=4923.5300,,=0.7822
2017-03-10,=58023189078216.0156,=4894.7700,,=0.7774
2017-03-03,=57987399866331.2422,=4888.7800,,=0.7769
2017-02-24,=58386238684342.9922,=4930.0600,,=0.7822
2017-02-17,=57200728646710.2578,=4831.8400,,=0.7664
2017-02-10,=57176883578728.7344,=4842.3000,,=0.7660
2017-02-03,=56093635491503.5781,=4748.2100,,=0.7515
2017-01-26,=56409330172754.6953,=4770.4300,,=0.7558
2017-01-20,=55427761185940.1719,=4711.3100,,=0.7426
2017-01-13,=55414936206459.8594,=4741.0800,,=0.7424
2017-01-06,=56459874031126.3516,=4850.9400,,=0.7564
2016-12-31,,,=74639505948351.7031,=0.7196
2016-12-30,=53711789689086.2500,=4786.9800,,=0.7797
2016-12-23,=53632409104676.0703,=4786.6100,,=0.7786
2016-12-16,=53858297996047.2969,=4827.3500,,=0.7818
2016-12-09,=55845363414770.4453,=5006.6100,,=0.8107
2016-12-02,=56039296015676.3125,=5030.2700,,=0.8135
2016-11-25,=56601266632507.7266,=5096.9300,,=0.8217
2016-11-18,=55597224212788.8672,=5022.1600,,=0.8071
2016-11-11,=55501788580802.2422,=5012.4700,,=0.8057
2016-11-04,=54443102420444.7109,=4919.6200,,=0.7903
2016-10-28,=54102618386283.6406,=4890.5500,,=0.7854
2016-10-21,=53990191471406.9141,=4887.9100,,=0.7838
2016-10-14,=53592915632556.9609,=4865.1700,,=0.7780
2016-09-30,=52401051714016.4922,=4757.4000,,=0.7607
2016-09-23,=52618234204422.8125,=4790.9000,,=0.7638
2016-09-14,=51913868141557.4219,=4726.5000,,=0.7536
2016-09-09,=53276084509868.6016,=4852.0700,,=0.7734
2016-09-02,=52822416603153.9063,=4799.6200,,=0.7668
2016-08-26,=52954742223778.3359,=4817.5700,,=0.7687
2016-08-19,=53566891030768.7188,=4882.4300,,=0.7776
2016-08-12,=52233158697139.7891,=4745.2100,,=0.7583
2016-08-05,=51058023508343.5234,=4653.3400,,=0.7412
2016-07-29,=51070322423795.9766,=4652.7100,,=0.7414
2016-07-22,=52116014949451.3828,=4775.5000,,=0.7566
2016-07-15,=52719830295055.8359,=4824.8500,,=0.7653
2016-07-08,=51699248645431.9297,=4741.7500,,=0.7505
2016-07-01,=50715968573975.6641,=4644.6100,,=0.7362
2016-06-24,=48620476787711.1250,=4505.9600,,=0.7058
2016-06-17,=48911949445594.2344,=4538.5000,,=0.7100
2016-06-08,=49521701163240.2266,=4587.3900,,=0.7189
2016-06-03,=49555441208646.9531,=4597.3400,,=0.7194
2016-05-27,=47328413706592.7422,=4378.0900,,=0.6871
2016-05-20,=47232799656193.8516,=4374.1900,,=0.6857
2016-05-13,=47045139028782.7656,=4363.0500,,=0.6829
2016-05-06,=48694887574264.1172,=4537.6400,,=0.7069
2016-04-29,=48903523478673.0156,=4564.6700,,=0.7099
2016-04-22,=49014557201081.4922,=4573.1800,,=0.7115
2016-04-15,=51175293526457.5000,=4799.4200,,=0.7429
2016-04-08,=49525659596208.7813,=4640.2000,,=0.7190
2016-04-01,=49644514372174.2188,=4639.5600,,=0.7207
2016-03-25,=49128762512753.4219,=4600.6500,,=0.7132
2016-03-18,=48389047380609.5234,=4514.1600,,=0.7025
2016-03-11,=45396926807201.8203,=4203.8900,,=0.6590
2016-03-04,=46226961720529.1094,=4280.6200,,=0.6711
2016-02-26,=45356235222899.8203,=4241.5900,,=0.6584
2016-02-19,=47385888002392.7734,=4466.1600,,=0.6879
2016-02-05,=45420381505337.4531,=4261.1100,,=0.6594
2016-01-29,=44536357054836.8828,=4154.9100,,=0.6465
2016-01-22,=47650283742327.4922,=4474.6300,,=0.6917
2016-01-15,=47136785782201.6484,=4420.9900,,=0.6843
2016-01-08,=51736837777158.1250,=4874.6500,,=0.7511
2015-12-31,=57874103069786.8750,=5592.6400,=68885821804928.3047,=0.8401
2015-12-25,=58890090782132.1563,=5716.5600,,
2015-12-18,=58108671593178.5547,=5633.0200,,
2015-12-11,=55230263888505.7109,=5335.8400,,
2015-12-04,=56408656188683.9063,=5439.6500,,
2015-11-27,=54927761797147.3984,=5306.0700,,
2015-11-20,=57733869998189.3672,=5592.7100,,
2015-11-13,=56357454104626.6641,=5445.3600,,
2015-11-06,=55930169074964.2188,=5401.9200,,
2015-10-30,=52692248244447.5938,=5090.6400,,
2015-10-23,=52945560798221.9609,=5118.8400,,
2015-10-16,=52191335966840.1172,=5036.5200,,
2015-10-09,=48732589362726.4375,=4681.4100,,
2015-09-30,=46553245758449.3359,=4460.1000,,
2015-09-25,=46765525687413.8281,=4463.4900,,
2015-09-18,=46656422503443.6953,=4449.1800,,
2015-09-11,=48541755077955.3438,=4657.6900,,
2015-09-02,=47350625534627.1484,=4466.5700,,
2015-08-28,=49243103507084.0703,=4764.9400,,

数据来源于：理杏仁网站(lixinger.com)
