日期,="沪深300.收盘点位",="宏观.大陆-居民消费价格指数(CPI)(右1)",="宏观.大陆-工业品出厂价格指数(PPI)(右1)",="CPI-PPI(右1)"
2022-02-11,=4601.4000,,,
2022-01-31,,=0.0090,=0.0910,=-0.0820
2022-01-28,=4563.7700,,,
2022-01-21,=4779.3100,,,
2022-01-14,=4726.7300,,,
2022-01-07,=4822.3700,,,
2021-12-31,=4940.3700,=0.0150,=0.1030,=-0.0880
2021-12-24,=4921.3400,,,
2021-12-17,=4954.7600,,,
2021-12-10,=5055.1200,,,
2021-12-03,=4901.0200,,,
2021-11-30,,=0.0230,=0.1290,=-0.1060
2021-11-26,=4860.1300,,,
2021-11-19,=4890.0600,,,
2021-11-12,=4888.3700,,,
2021-11-05,=4842.3500,,,
2021-10-31,,=0.0150,=0.1350,=-0.1200
2021-10-29,=4908.7700,,,
2021-10-22,=4959.7300,,,
2021-10-15,=4932.1100,,,
2021-10-08,=4929.9400,,,
2021-09-30,=4866.3800,=0.0070,=0.1070,=-0.1000
2021-09-24,=4849.4300,,,
2021-09-17,=4855.9400,,,
2021-09-10,=5013.5200,,,
2021-09-03,=4843.0600,,,
2021-08-31,,=0.0080,=0.0950,=-0.0870
2021-08-27,=4827.0400,,,
2021-08-20,=4769.2700,,,
2021-08-13,=4945.9800,,,
2021-08-06,=4921.5600,,,
2021-07-31,,=0.0100,=0.0900,=-0.0800
2021-07-30,=4811.1700,,,
2021-07-23,=5089.2300,,,
2021-07-16,=5094.7700,,,
2021-07-09,=5069.4400,,,
2021-07-02,=5081.1200,,,
2021-06-30,,=0.0110,=0.0880,=-0.0770
2021-06-25,=5239.9700,,,
2021-06-18,=5102.4700,,,
2021-06-11,=5224.7000,,,
2021-06-04,=5282.2800,,,
2021-05-31,,=0.0130,=0.0900,=-0.0770
2021-05-28,=5321.0900,,,
2021-05-21,=5134.1500,,,
2021-05-14,=5110.5900,,,
2021-05-07,=4996.0500,,,
2021-04-30,=5123.4900,=0.0090,=0.0680,=-0.0590
2021-04-23,=5135.4500,,,
2021-04-16,=4966.1800,,,
2021-04-09,=5035.3400,,,
2021-04-02,=5161.5600,,,
2021-03-31,,=0.0040,=0.0440,=-0.0400
2021-03-26,=5037.9900,,,
2021-03-19,=5007.0900,,,
2021-03-12,=5146.3800,,,
2021-03-05,=5262.8000,,,
2021-02-28,,=-0.0020,=0.0170,=-0.0190
2021-02-26,=5336.7600,,,
2021-02-19,=5778.8400,,,
2021-02-10,=5807.7200,,,
2021-02-05,=5483.4100,,,
2021-01-31,,=-0.0030,=0.0030,=-0.0060
2021-01-29,=5351.9600,,,
2021-01-22,=5569.7800,,,
2021-01-15,=5458.0800,,,
2021-01-08,=5495.4300,,,
2020-12-31,=5211.2900,=0.0020,=-0.0040,=0.0060
2020-12-25,=5042.0100,,,
2020-12-18,=4999.9700,,,
2020-12-11,=4889.6300,,,
2020-12-04,=5065.9200,,,
2020-11-30,,=-0.0050,=-0.0150,=0.0100
2020-11-27,=4980.7700,,,
2020-11-20,=4943.2900,,,
2020-11-13,=4856.8500,,,
2020-11-06,=4885.7200,,,
2020-10-31,,=0.0050,=-0.0210,=0.0260
2020-10-30,=4695.3300,,,
2020-10-23,=4718.4900,,,
2020-10-16,=4791.6800,,,
2020-10-09,=4681.1400,,,
2020-09-30,=4587.4000,=0.0170,=-0.0210,=0.0380
2020-09-25,=4570.0200,,,
2020-09-18,=4737.0900,,,
2020-09-11,=4627.2800,,,
2020-09-04,=4770.2200,,,
2020-08-31,,=0.0240,=-0.0200,=0.0440
2020-08-28,=4844.2700,,,
2020-08-21,=4718.8400,,,
2020-08-14,=4704.6300,,,
2020-08-07,=4707.9300,,,
2020-07-31,=4695.0500,=0.0270,=-0.0240,=0.0510
2020-07-24,=4505.5900,,,
2020-07-17,=4544.7000,,,
2020-07-10,=4753.1300,,,
2020-07-03,=4419.6000,,,
2020-06-30,,=0.0250,=-0.0300,=0.0550
2020-06-24,=4138.9900,,,
2020-06-19,=4098.7100,,,
2020-06-12,=4003.0800,,,
2020-06-05,=4001.2500,,,
2020-05-31,,=0.0240,=-0.0370,=0.0610
2020-05-29,=3867.0200,,,
2020-05-22,=3824.0600,,,
2020-05-15,=3912.8200,,,
2020-05-08,=3963.6200,,,
2020-04-30,=3912.5800,=0.0330,=-0.0310,=0.0640
2020-04-24,=3796.9700,,,
2020-04-17,=3839.4900,,,
2020-04-10,=3769.1800,,,
2020-04-03,=3713.2200,,,
2020-03-31,,=0.0430,=-0.0150,=0.0580
2020-03-27,=3710.0600,,,
2020-03-20,=3653.2200,,,
2020-03-13,=3895.3100,,,
2020-03-06,=4138.5100,,,
2020-02-29,,=0.0520,=-0.0040,=0.0560
2020-02-28,=3940.0500,,,
2020-02-21,=4149.4900,,,
2020-02-14,=3987.7300,,,
2020-02-07,=3899.8700,,,
2020-01-31,,=0.0540,=0.0010,=0.0530
2020-01-23,=4003.9000,,,
2020-01-17,=4154.8500,,,
2020-01-10,=4163.1800,,,
2020-01-03,=4144.9600,,,
2019-12-31,,=0.0450,=-0.0050,=0.0500
2019-12-27,=4022.0300,,,
2019-12-20,=4017.2500,,,
2019-12-13,=3968.2200,,,
2019-12-06,=3902.3900,,,
2019-11-30,,=0.0450,=-0.0140,=0.0590
2019-11-29,=3828.6700,,,
2019-11-22,=3849.9900,,,
2019-11-15,=3877.0900,,,
2019-11-08,=3973.0100,,,
2019-11-01,=3952.3900,,,
2019-10-31,,=0.0380,=-0.0160,=0.0540
2019-10-25,=3896.7900,,,
2019-10-18,=3869.3800,,,
2019-10-11,=3911.7300,,,
2019-09-30,=3814.5300,=0.0300,=-0.0120,=0.0420
2019-09-27,=3852.6500,,,
2019-09-20,=3935.6500,,,
2019-09-12,=3972.3800,,,
2019-09-06,=3948.5100,,,
2019-08-31,,=0.0280,=-0.0080,=0.0360
2019-08-30,=3799.5900,,,
2019-08-23,=3820.8600,,,
2019-08-16,=3710.5400,,,
2019-08-09,=3633.5300,,,
2019-08-02,=3747.4400,,,
2019-07-31,,=0.0280,=-0.0030,=0.0310
2019-07-26,=3858.5700,,,
2019-07-19,=3807.9600,,,
2019-07-12,=3808.7300,,,
2019-07-05,=3893.2000,,,
2019-06-30,,=0.0270,=0,=0.0270
2019-06-28,=3825.5900,,,
2019-06-21,=3833.9400,,,
2019-06-14,=3654.8800,,,
2019-06-06,=3564.6800,,,
2019-05-31,=3629.7900,=0.0270,=0.0060,=0.0210
2019-05-24,=3593.9100,,,
2019-05-17,=3648.7600,,,
2019-05-10,=3730.4500,,,
2019-04-30,=3913.2100,=0.0250,=0.0090,=0.0160
2019-04-26,=3889.2700,,,
2019-04-19,=4120.6100,,,
2019-04-12,=3988.6200,,,
2019-04-04,=4062.2300,,,
2019-03-31,,=0.0230,=0.0040,=0.0190
2019-03-29,=3872.3400,,,
2019-03-22,=3833.8000,,,
2019-03-15,=3745.0100,,,
2019-03-08,=3657.5800,,,
2019-03-01,=3749.7100,,,
2019-02-28,,=0.0150,=0.0010,=0.0140
2019-02-22,=3520.1200,,,
2019-02-15,=3338.7000,,,
2019-02-01,=3247.4000,,,
2019-01-31,,=0.0170,=0.0010,=0.0160
2019-01-25,=3184.4700,,,
2019-01-18,=3168.1700,,,
2019-01-11,=3094.7800,,,
