日期,="A股全指.收盘点位",="市值/M2"
2021-07-23,=5833.6500,=0.3685
2021-07-16,=5795.5300,=0.3667
2021-07-09,=5752.1100,=0.3652
2021-07-02,=5687.2900,=0.3627
2021-06-30,,=0.3701
2021-06-25,=5812.0800,=0.3770
2021-06-18,=5669.4500,=0.3678
2021-06-11,=5755.7300,=0.3618
2021-06-04,=5768.9700,=0.3620
2021-05-31,,=0.3612
2021-05-28,=5765,=0.3634
2021-05-21,=5582.6100,=0.3520
2021-05-14,=5562.1600,=0.3502
2021-05-07,=5445.0900,=0.3425
2021-04-30,=5544.2600,=0.3482
2021-04-23,=5560.1700,=0.3477
2021-04-16,=5420.6800,=0.3397
2021-04-09,=5457.5900,=0.3420
2021-04-02,=5524.6900,=0.3454
2021-03-31,,=0.3384
2021-03-26,=5425.7500,=0.3446
2021-03-19,=5389.6300,=0.3424
2021-03-12,=5469.1600,=0.3468
2021-03-05,=5607.5500,=0.3552
2021-02-28,,=0.3551
2021-02-26,=5617.6700,=0.3588
2021-02-19,=5977.4200,=0.3811
2021-02-10,=5918.5900,=0.3780
2021-02-05,=5628.4300,=0.3600
2021-01-31,,=0.3599
2021-01-29,=5615.5700,=0.3642
2021-01-22,=5885.3500,=0.3797
2021-01-15,=5740.2800,=0.3709
2021-01-08,=5804.6000,=0.3745
2020-12-31,=5621.7300,=0.3635
2020-12-25,=5485.7200,=0.3572
2020-12-18,=5465.5800,=0.3564
2020-12-11,=5371.6900,=0.3336
2020-12-04,=5564.9300,=0.3439
2020-11-30,,=0.3385
2020-11-27,=5470.4800,=0.3420
2020-11-20,=5488.7700,=0.3424
2020-11-13,=5402.7700,=0.3372
2020-11-06,=5423.9600,=0.3382
2020-10-31,,=0.3278
2020-10-30,=5241.1700,=0.3256
2020-10-23,=5295.6200,=0.3283
2020-10-16,=5424.6100,=0.3362
2020-10-09,=5319.4500,=0.3295
2020-09-30,=5189.3600,=0.3221
2020-09-25,=5187.2900,=0.3255
2020-09-18,=5387.1100,=0.3373
2020-09-11,=5256.6200,=0.3290
2020-09-04,=5485.2700,=0.3428
2020-08-31,,=0.3465
2020-08-28,=5541.3500,=0.3484
2020-08-21,=5447.7200,=0.3433
2020-08-14,=5431.5400,=0.3420
2020-08-07,=5469.8100,=0.3436
2020-07-31,=5409.4600,=0.3399
2020-07-24,=5169.0700,=0.3234
2020-07-17,=5202.8200,=0.3260
2020-07-10,=5452.8500,=0.3426
2020-07-03,=5008.3500,=0.3147
2020-06-30,,=0.2895
2020-06-24,=4748.3300,=0.2942
2020-06-19,=4717.9000,=0.2920
2020-06-12,=4596.9600,=0.2850
2020-06-05,=4591.9600,=0.2849
2020-05-31,,=0.2760
2020-05-29,=4439.0900,=0.2769
2020-05-22,=4370.1500,=0.2727
2020-05-15,=4491.4300,=0.2795
2020-05-08,=4517.6800,=0.2808
2020-04-30,=4426.3400,=0.2757
2020-04-24,=4351.5500,=0.2726
2020-04-17,=4391.6000,=0.2749
2020-04-10,=4319.3600,=0.2702
2020-04-03,=4244.7400,=0.2662
2020-03-31,,=0.2662
2020-03-27,=4257.8000,=0.2728
2020-03-20,=4257,=0.2721
2020-03-13,=4494.5500,=0.2865
2020-03-06,=4764.2400,=0.3028
2020-02-29,,=0.2864
2020-02-28,=4493,=0.2875
2020-02-21,=4751.4600,=0.3041
2020-02-14,=4487.7800,=0.2887
2020-02-07,=4397.2100,=0.2832
2020-01-31,,=0.2897
2020-01-23,=4488.9700,=0.2950
2020-01-17,=4637.2700,=0.3039
2020-01-10,=4633.4200,=0.3033
2020-01-03,=4576.5400,=0.2999
2019-12-31,,=0.2757
2019-12-27,=4428.6800,=0.2793
2019-12-20,=4426.5800,=0.2792
2019-12-13,=4350.4700,=0.2741
2019-12-06,=4280.5100,=0.2695
2019-11-30,,=0.2642
2019-11-29,=4186.1800,=0.2663
2019-11-22,=4212.9300,=0.2677
2019-11-15,=4216.2900,=0.2680
2019-11-08,=4329.0100,=0.2748
2019-11-01,=4311.0500,=0.2736
2019-10-31,,=0.2727
2019-10-25,=4289.7400,=0.2717
2019-10-18,=4261.8300,=0.2696
2019-10-11,=4322.1600,=0.2728
2019-09-30,=4214.4000,=0.2662
2019-09-27,=4259.7800,=0.2711
2019-09-20,=4398.2400,=0.2793
2019-09-12,=4433.9300,=0.2807
2019-09-06,=4376.6600,=0.2773
2019-08-31,,=0.2659
2019-08-30,=4184.7800,=0.2681
2019-08-23,=4201.7200,=0.2686
2019-08-16,=4068.2500,=0.2608
2019-08-09,=3971.5300,=0.2550
2019-08-02,=4124.2900,=0.2643
2019-07-31,,=0.2708
2019-07-26,=4231.3900,=0.2705
2019-07-19,=4199.3200,=0.2683
2019-07-12,=4198.0800,=0.2684
2019-07-05,=4319.9500,=0.2758
2019-06-30,,=0.2712
2019-06-28,=4244.0800,=0.2755
2019-06-21,=4282.0700,=0.2777
2019-06-14,=4086.1300,=0.2659
2019-06-06,=3980.9400,=0.2601
2019-05-31,=4123.5100,=0.2685
2019-05-24,=4056.5400,=0.2646
2019-05-17,=4134.6300,=0.2687
2019-05-10,=4226.0200,=0.2743
2019-04-30,=4422.4900,=0.2868
2019-04-26,=4460.6800,=0.2882
2019-04-19,=4756.5400,=0.3061
2019-04-12,=4632.0100,=0.2987
2019-04-04,=4727.6700,=0.3046
2019-03-31,,=0.2901
2019-03-29,=4487.7200,=0.2935
2019-03-22,=4499.5400,=0.2945
2019-03-15,=4351.4300,=0.2857
2019-03-08,=4249.7300,=0.2800
2019-03-01,=4215.7000,=0.2790
2019-02-28,,=0.2620
2019-02-22,=3968.8800,=0.2622
2019-02-15,=3752.4700,=0.2492
2019-02-01,=3596.0200,=0.2400
2019-01-31,,=0.2392
2019-01-25,=3598.6000,=0.2443
2019-01-18,=3598.4300,=0.2438
2019-01-11,=3551.3300,=0.2403
2019-01-04,=3470.2800,=0.2355
2018-12-31,,=0.2299
2018-12-28,=3432.3800,=0.2316
2018-12-21,=3472.6900,=0.2338
2018-12-14,=3592.5200,=0.2412
2018-12-07,=3634.5700,=0.2433
2018-11-30,=3606.1000,=0.2414
2018-11-23,=3589.6700,=0.2428
2018-11-16,=3763.2700,=0.2538
2018-11-09,=3584.8800,=0.2432
2018-11-02,=3666.5900,=0.2489
2018-10-31,,=0.2401
2018-10-26,=3523.3500,=0.2393
2018-10-19,=3454.3400,=0.2348
2018-10-12,=3536.7600,=0.2402
2018-09-30,,=0.2626
2018-09-28,=3890.8300,=0.2645
2018-09-21,=3880.9200,=0.2631
2018-09-14,=3737.7000,=0.2531
2018-09-07,=3798.5800,=0.2563
2018-08-31,=3842.1400,=0.2588
2018-08-24,=3854.9900,=0.2613
2018-08-17,=3785.0100,=0.2562
2018-08-10,=3979.6100,=0.2687
2018-08-03,=3892.8800,=0.2632
2018-07-31,,=0.2787
2018-07-27,=4144.3600,=0.2797
2018-07-20,=4096.5200,=0.2767
2018-07-13,=4105.0600,=0.2775
2018-07-06,=3956.6200,=0.2674
2018-06-30,,=0.2700
2018-06-29,=4127.9500,=0.2742
2018-06-22,=4157.4600,=0.2763
2018-06-15,=4380.6600,=0.2902
2018-06-08,=4486.6300,=0.2965
2018-06-01,=4488.9200,=0.2966
2018-05-31,,=0.3046
2018-05-25,=4614.4700,=0.3056
2018-05-18,=4685.9000,=0.3103
2018-05-11,=4666.5000,=0.3083
2018-05-04,=4571.4000,=0.3016
2018-04-30,,=0.3002
2018-04-27,=4548.4200,=0.2998
2018-04-20,=4556.7100,=0.2994
2018-04-13,=4688.6200,=0.3082
2018-04-04,=4676.6100,=0.3064
2018-03-31,,=0.3101
2018-03-30,=4731.0300,=0.3121
2018-03-23,=4604.9000,=0.3051
2018-03-16,=4828.5000,=0.3184
2018-03-09,=4876.4600,=0.3221
2018-03-02,=4751.9400,=0.3145
2018-02-28,,=0.3110
2018-02-23,=4709.7300,=0.3125
2018-02-14,=4600.6100,=0.3047
2018-02-09,=4457.4600,=0.2962
2018-02-02,=4874.8100,=0.3252
2018-01-31,,=0.3390
2018-01-26,=5126.6100,=0.3479
2018-01-19,=5036.9900,=0.3413
2018-01-12,=5057.9100,=0.3396
2018-01-05,=5020.4900,=0.3369
2017-12-31,,=0.3195
2017-12-29,=4898.9000,=0.3208
2017-12-22,=4915.8000,=0.3202
2017-12-15,=4889.4400,=0.3179
2017-12-08,=4889.2300,=0.3182
2017-12-01,=4929.9200,=0.3212
2017-11-30,,=0.3232
2017-11-24,=4973.5100,=0.3265
2017-11-17,=5026.9900,=0.3297
2017-11-10,=5145.6900,=0.3380
2017-11-03,=5003.1700,=0.3300
2017-10-31,,=0.3355
2017-10-27,=5109.6800,=0.3351
2017-10-20,=5036.9300,=0.3309
2017-10-13,=5100.5500,=0.3340
2017-09-30,,=0.3280
2017-09-29,=5002.5500,=0.3301
2017-09-22,=5001.3200,=0.3300
2017-09-15,=5010.1500,=0.3300
2017-09-08,=4993.1900,=0.3302
2017-09-01,=4972.2500,=0.3288
2017-08-31,,=0.3239
2017-08-25,=4887.1100,=0.3271
2017-08-18,=4845.8600,=0.3229
2017-08-11,=4720.9200,=0.3152
2017-08-04,=4782.9500,=0.3193
2017-07-31,,=0.3193
2017-07-28,=4790.2300,=0.3188
2017-07-21,=4754.6100,=0.3160
2017-07-14,=4781.4700,=0.3176
2017-07-07,=4808.6300,=0.3196
2017-06-30,=4772.1400,=0.3069
2017-06-23,=4708.6200,=0.3087
2017-06-16,=4661.4300,=0.3059
2017-06-09,=4674.9400,=0.3075
2017-06-02,=4536.5500,=0.2998
2017-05-31,,=0.3012
2017-05-26,=4569.9700,=0.3021
2017-05-19,=4599.6100,=0.3034
2017-05-12,=4540.4700,=0.3004
2017-05-05,=4637.6800,=0.3054
2017-04-30,,=0.3104
2017-04-28,=4718.1300,=0.3098
2017-04-21,=4768.2500,=0.3120
2017-04-14,=4901.2300,=0.3203
2017-04-07,=4970.4000,=0.3249
2017-03-31,=4863.5100,=0.3180
2017-03-24,=4962.3700,=0.3275
2017-03-17,=4923.5300,=0.3247
2017-03-10,=4894.7700,=0.3226
2017-03-03,=4888.7800,=0.3223
2017-02-28,,=0.3242
2017-02-24,=4930.0600,=0.3256
2017-02-17,=4831.8400,=0.3187
2017-02-10,=4842.3000,=0.3187
2017-02-03,=4748.2100,=0.3125
2017-01-31,,=0.3142
2017-01-26,=4770.4300,=0.3194
2017-01-20,=4711.3100,=0.3137
2017-01-13,=4741.0800,=0.3136
2017-01-06,=4850.9400,=0.3205
2016-12-31,,=0.3035
2016-12-30,=4786.9800,=0.3074
2016-12-23,=4786.6100,=0.3067
2016-12-16,=4827.3500,=0.3080
2016-12-09,=5006.6100,=0.3192
2016-12-02,=5030.2700,=0.3206
2016-11-30,,=0.3241
2016-11-25,=5096.9300,=0.3265
2016-11-18,=5022.1600,=0.3211
2016-11-11,=5012.4700,=0.3206
2016-11-04,=4919.6200,=0.3145
2016-10-31,,=0.3123
2016-10-28,=4890.5500,=0.3129
2016-10-21,=4887.9100,=0.3124
2016-10-14,=4865.1700,=0.3101
2016-09-30,=4757.4000,=0.3029
2016-09-23,=4790.9000,=0.3052
2016-09-14,=4726.5000,=0.3011
2016-09-09,=4852.0700,=0.3090
2016-09-02,=4799.6200,=0.3061
2016-08-31,,=0.3070
2016-08-26,=4817.5700,=0.3110
2016-08-19,=4882.4300,=0.3148
2016-08-12,=4745.2100,=0.3065
2016-08-05,=4653.3400,=0.3000
2016-07-31,,=0.3001
2016-07-29,=4652.7100,=0.3003
2016-07-22,=4775.5000,=0.3069
2016-07-15,=4824.8500,=0.3104
2016-07-08,=4741.7500,=0.3047
2016-07-01,=4644.6100,=0.2987
2016-06-30,,=0.2853
2016-06-24,=4505.9600,=0.2909
2016-06-17,=4538.5000,=0.2928
2016-06-08,=4587.3900,=0.2962
2016-06-03,=4597.3400,=0.2964
2016-05-31,,=0.2825
2016-05-27,=4378.0900,=0.2857
2016-05-20,=4374.1900,=0.2852
2016-05-13,=4363.0500,=0.2840
2016-05-06,=4537.6400,=0.2943
2016-04-30,,=0.2954
2016-04-29,=4564.6700,=0.2952
2016-04-22,=4573.1800,=0.2959
2016-04-15,=4799.4200,=0.3093
2016-04-08,=4640.2000,=0.2992
2016-04-01,=4639.5600,=0.2997
2016-03-31,,=0.2964
2016-03-25,=4600.6500,=0.3009
2016-03-18,=4514.1600,=0.2960
2016-03-11,=4203.8900,=0.2768
2016-03-04,=4280.6200,=0.2819
2016-02-29,,=0.2775
2016-02-26,=4241.5900,=0.2791
2016-02-19,=4466.1600,=0.2922
2016-02-05,=4261.1100,=0.2795
2016-01-31,,=0.2732
2016-01-29,=4154.9100,=0.2780
2016-01-22,=4474.6300,=0.2979
2016-01-15,=4420.9900,=0.2942
2016-01-08,=4874.6500,=0.3231
2015-12-31,=5592.6400,=0.3632
2015-12-25,=5716.5600,=0.3741
2015-12-18,=5633.0200,=0.3692
2015-12-11,=5335.8400,=0.3502
2015-12-04,=5439.6500,=0.3576
2015-11-30,,=0.3487
2015-11-27,=5306.0700,=0.3521
2015-11-20,=5592.7100,=0.3703
2015-11-13,=5445.3600,=0.3612
2015-11-06,=5401.9200,=0.3582
2015-10-31,,=0.3371
2015-10-30,=5090.6400,=0.3373
2015-10-23,=5118.8400,=0.3385
2015-10-16,=5036.5200,=0.3339
2015-10-09,=4681.4100,=0.3110
2015-09-30,=4460.1000,=0.2967
2015-09-25,=4463.4900,=0.2982
2015-09-18,=4449.1800,=0.2973
2015-09-11,=4657.6900,=0.3100
2015-09-02,=4466.5700,=0.3001
2015-08-31,,=0.3156
2015-08-28,=4764.9400,

数据来源于：理杏仁网站(lixinger.com)
