日期,="宏观.中债-十年期收益率",="社融-M2"
2020-12-31,=0.0314,=0.1016
2020-12-25,=0.0319,=0.1041
2020-12-18,=0.0329,=0.1031
2020-12-11,=0.0330,=0.1030
2020-12-04,=0.0327,=0.1033
2020-11-30,,=0.1030
2020-11-27,=0.0330,=0.1040
2020-11-20,=0.0331,=0.1039
2020-11-13,=0.0327,=0.1043
2020-11-06,=0.0321,=0.1049
2020-10-31,,=0.1052
2020-10-30,=0.0318,=0.1032
2020-10-23,=0.0320,=0.1030
2020-10-16,=0.0322,=0.1028
2020-10-10,=0.0319,=0.1031
2020-09-30,=0.0315,=0.1035
2020-09-27,=0.0313,=0.1017
2020-09-18,=0.0312,=0.1018
2020-09-11,=0.0313,=0.1017
2020-09-04,=0.0312,=0.1018
2020-08-31,,=0.1023
2020-08-28,=0.0307,=0.0983
2020-08-21,=0.0298,=0.0992
2020-08-14,=0.0294,=0.0996
2020-08-07,=0.0299,=0.0991
2020-07-31,=0.0297,=0.0993
2020-07-24,=0.0286,=0.0994
2020-07-17,=0.0295,=0.0985
2020-07-10,=0.0303,=0.0977
2020-07-03,=0.0290,=0.0990
2020-06-30,,=0.0996
2020-06-28,=0.0284,=0.0966
2020-06-19,=0.0288,=0.0962
2020-06-12,=0.0275,=0.0975
2020-06-05,=0.0285,=0.0965
2020-05-31,,=0.0979
2020-05-29,=0.0271,=0.0929
2020-05-22,=0.0262,=0.0938
2020-05-15,=0.0268,=0.0932
2020-05-09,=0.0264,=0.0936
2020-04-30,=0.0254,=0.0946
2020-04-26,=0.0252,=0.0898
2020-04-17,=0.0256,=0.0894
2020-04-10,=0.0254,=0.0896
2020-04-03,=0.0260,=0.0890
2020-03-31,,=0.0889
2020-03-27,=0.0261,=0.0809
2020-03-20,=0.0268,=0.0802
2020-03-13,=0.0268,=0.0802
2020-03-06,=0.0263,=0.0807
2020-02-29,,=0.0796
2020-02-28,=0.0274,=0.0796
2020-02-21,=0.0285,=0.0785
2020-02-14,=0.0286,=0.0784
2020-02-07,=0.0280,=0.0790
2020-01-31,,=0.0771
2020-01-23,=0.0299,=0.0771
2020-01-19,=0.0308,=0.0762
2020-01-10,=0.0308,=0.0762
2020-01-03,=0.0314,=0.0756
2019-12-31,,=0.0757
2019-12-27,=0.0313,=0.0757
2019-12-20,=0.0318,=0.0752
2019-12-13,=0.0318,=0.0752
2019-12-06,=0.0318,=0.0752
2019-11-30,,=0.0754
2019-11-29,=0.0316,=0.0743
2019-11-22,=0.0317,=0.0743
2019-11-15,=0.0324,=0.0736
2019-11-08,=0.0328,=0.0732
2019-11-01,=0.0328,=0.0732
2019-10-31,,=0.0736
2019-10-25,=0.0324,=0.0746
2019-10-18,=0.0319,=0.0751
2019-10-12,=0.0317,=0.0753
2019-09-30,=0.0314,=0.0756
2019-09-29,=0.0314,=0.0756
2019-09-20,=0.0310,=0.0760
2019-09-12,=0.0309,=0.0761
2019-09-06,=0.0302,=0.0768
2019-08-31,,=0.0764
2019-08-30,=0.0306,=0.0774
2019-08-23,=0.0306,=0.0774
2019-08-16,=0.0302,=0.0778
2019-08-09,=0.0302,=0.0778
2019-08-02,=0.0309,=0.0771
2019-07-31,,=0.0763
2019-07-26,=0.0317,=0.0803
2019-07-19,=0.0316,=0.0804
2019-07-12,=0.0315,=0.0805
2019-07-05,=0.0317,=0.0803
2019-06-30,,=0.0797
2019-06-28,=0.0323,=0.0777
2019-06-21,=0.0323,=0.0777
2019-06-14,=0.0323,=0.0777
2019-06-06,=0.0321,=0.0779
2019-05-31,=0.0328,=0.0772
2019-05-24,=0.0331,=0.0749
2019-05-17,=0.0327,=0.0753
2019-05-10,=0.0330,=0.0750
2019-05-05,=0.0338,=0.0742
2019-04-30,,=0.0740
2019-04-28,=0.0340,=0.0780
2019-04-19,=0.0337,=0.0783
2019-04-12,=0.0333,=0.0787
2019-04-04,=0.0327,=0.0793
2019-03-31,,=0.0813
2019-03-29,=0.0307,=0.0753
2019-03-22,=0.0311,=0.0749
2019-03-15,=0.0314,=0.0746
2019-03-08,=0.0314,=0.0746
2019-03-01,=0.0319,=0.0741
2019-02-28,,=0.0745
2019-02-22,=0.0315,=0.0775
2019-02-15,=0.0308,=0.0782
2019-02-03,=0.0310,=0.0780
2019-01-31,,=0.0776
2019-01-25,=0.0314,=0.0712
2019-01-18,=0.0309,=0.0717
2019-01-11,=0.0311,=0.0715
2019-01-04,=0.0315,=0.0711
2018-12-31,,=0.0703
2018-12-30,=0.0323,=0.0708
2018-12-21,=0.0332,=0.0699
2018-12-14,=0.0335,=0.0696
2018-12-07,=0.0329,=0.0702
2018-11-30,=0.0336,=0.0695
2018-11-23,=0.0339,=0.0740
2018-11-16,=0.0335,=0.0744
2018-11-09,=0.0348,=0.0731
2018-11-02,=0.0355,=0.0724
2018-10-31,,=0.0725
2018-10-26,=0.0354,=0.0767
2018-10-19,=0.0357,=0.0764
2018-10-12,=0.0358,=0.0763
2018-09-30,=0.0361,=0.0760
2018-09-21,=0.0368,=0.0784
2018-09-14,=0.0364,=0.0788
2018-09-07,=0.0363,=0.0789
2018-08-31,=0.0358,=0.0794
2018-08-24,=0.0362,=0.0786
2018-08-17,=0.0365,=0.0783
2018-08-10,=0.0355,=0.0793
2018-08-03,=0.0346,=0.0803
2018-07-31,,=0.0796
2018-07-27,=0.0352,=0.0824
2018-07-20,=0.0351,=0.0825
2018-07-13,=0.0349,=0.0828
2018-07-06,=0.0353,=0.0824
2018-06-30,,=0.0829
2018-06-29,=0.0348,=0.0872
2018-06-22,=0.0356,=0.0864
2018-06-15,=0.0360,=0.0860
2018-06-08,=0.0365,=0.0855
2018-06-01,=0.0362,=0.0858
2018-05-31,,=0.0859
2018-05-25,=0.0361,=0.0904
2018-05-18,=0.0371,=0.0894
2018-05-11,=0.0369,=0.0896
2018-05-04,=0.0363,=0.0902
2018-04-30,,=0.0903
2018-04-28,=0.0362,=0.0907
2018-04-20,=0.0352,=0.0917
2018-04-13,=0.0371,=0.0898
2018-04-08,=0.0370,=0.0899
2018-03-31,,=0.0895
2018-03-30,=0.0374,=0.0965
2018-03-23,=0.0370,=0.0969
2018-03-16,=0.0382,=0.0957
2018-03-09,=0.0383,=0.0956
2018-03-02,=0.0384,=0.0955
2018-02-28,,=0.0952
2018-02-24,=0.0387,=0.0957
2018-02-14,=0.0387,=0.0956
2018-02-11,=0.0388,=0.0956
2018-02-02,=0.0391,=0.0952
2018-01-31,,=0.0950
2018-01-26,=0.0394,=0.0806
2018-01-19,=0.0398,=0.0802
2018-01-12,=0.0393,=0.0807
2018-01-05,=0.0392,=0.0808
2017-12-31,=0.0388,=0.0812
2017-12-22,=0.0388,=0.0862
2017-12-15,=0.0389,=0.0861
2017-12-08,=0.0391,=0.0859
2017-12-01,=0.0389,=0.0861
2017-11-30,,=0.0855
2017-11-24,=0.0395,=0.0895
2017-11-17,=0.0392,=0.0898
2017-11-10,=0.0390,=0.0900
2017-11-03,=0.0388,=0.0902
2017-10-31,,=0.0907
2017-10-27,=0.0383,=0.0917
2017-10-20,=0.0372,=0.0928
2017-10-13,=0.0367,=0.0933
2017-09-30,=0.0361,=0.0939
2017-09-22,=0.0362,=0.0948
2017-09-15,=0.0360,=0.0950
2017-09-08,=0.0360,=0.0950
2017-09-01,=0.0364,=0.0946
2017-08-31,,=0.0947
2017-08-25,=0.0363,=0.0957
2017-08-18,=0.0360,=0.0960
2017-08-11,=0.0362,=0.0958
2017-08-04,=0.0363,=0.0957
2017-07-31,,=0.0960
2017-07-28,=0.0360,=0.0920
2017-07-21,=0.0358,=0.0922
2017-07-14,=0.0356,=0.0924
2017-07-07,=0.0359,=0.0921
2017-06-30,=0.0357,=0.0923
2017-06-23,=0.0355,=0.0935
2017-06-16,=0.0357,=0.0933
2017-06-09,=0.0363,=0.0927
2017-06-02,=0.0363,=0.0927
2017-05-31,,=0.0925
2017-05-27,=0.0365,=0.0905
2017-05-19,=0.0362,=0.0907
2017-05-12,=0.0365,=0.0905
2017-05-05,=0.0356,=0.0914
2017-04-30,,=0.0923
2017-04-28,=0.0347,=0.0903
2017-04-21,=0.0346,=0.0904
2017-04-14,=0.0336,=0.0914
2017-04-07,=0.0330,=0.0920
2017-04-01,=0.0327,=0.0923
2017-03-31,,=0.0925
2017-03-24,=0.0325,=0.0955
2017-03-17,=0.0331,=0.0949
2017-03-10,=0.0342,=0.0938
2017-03-03,=0.0336,=0.0944
2017-02-28,,=0.0951
2017-02-24,=0.0329,=0.0941
2017-02-17,=0.0333,=0.0937
2017-02-10,=0.0344,=0.0926
2017-02-04,=0.0341,=0.0929
2017-01-31,,=0.0935
2017-01-26,=0.0335,=0.0946
2017-01-22,=0.0326,=0.0955
2017-01-13,=0.0320,=0.0960
2017-01-06,=0.0320,=0.0961
2016-12-31,=0.0301,=0.0979
2016-12-23,=0.0318,=0.1012
2016-12-16,=0.0328,=0.1002
2016-12-09,=0.0309,=0.1022
2016-12-02,=0.0299,=0.1031
2016-11-30,,=0.1044
2016-11-25,=0.0286,=0.0994
2016-11-18,=0.0289,=0.0991
2016-11-11,=0.0282,=0.0999
2016-11-04,=0.0273,=0.1007
2016-10-31,,=0.1010
2016-10-28,=0.0270,=0.0979
2016-10-21,=0.0265,=0.0985
2016-10-14,=0.0270,=0.0980
2016-10-09,=0.0268,=0.0982
2016-09-30,=0.0273,=0.0977
2016-09-23,=0.0273,=0.0957
2016-09-18,=0.0277,=0.0954
2016-09-09,=0.0277,=0.0953
2016-09-02,=0.0275,=0.0956
2016-08-31,,=0.0961
2016-08-26,=0.0269,=0.0950
2016-08-19,=0.0270,=0.0950
2016-08-12,=0.0267,=0.0953
2016-08-05,=0.0275,=0.0944
2016-07-31,,=0.0942
2016-07-29,=0.0278,=0.0963
2016-07-22,=0.0279,=0.0961
2016-07-15,=0.0283,=0.0958
2016-07-08,=0.0280,=0.0960
2016-07-01,=0.0280,=0.0960
2016-06-30,,=0.0952
2016-06-24,=0.0288,=0.0972
2016-06-17,=0.0294,=0.0966
2016-06-12,=0.0301,=0.0959
2016-06-03,=0.0302,=0.0958
2016-05-31,,=0.0965
2016-05-27,=0.0295,=0.1015
2016-05-20,=0.0295,=0.1015
2016-05-13,=0.0290,=0.1019
2016-05-06,=0.0290,=0.1020
2016-04-30,,=0.1021
2016-04-29,=0.0289,=0.1050
2016-04-22,=0.0293,=0.1047
2016-04-15,=0.0292,=0.1048
2016-04-08,=0.0292,=0.1048
2016-04-01,=0.0284,=0.1055
2016-03-31,,=0.1056
2016-03-25,=0.0283,=0.0987
2016-03-18,=0.0282,=0.0988
2016-03-11,=0.0285,=0.0985
2016-03-04,=0.0290,=0.0980
2016-02-29,,=0.0984
2016-02-26,=0.0286,=0.1025
2016-02-19,=0.0283,=0.1028
2016-02-14,=0.0282,=0.1028
2016-02-06,=0.0285,=0.1025
2016-01-31,,=0.1026
2016-01-29,=0.0284,=0.0948
2016-01-22,=0.0277,=0.0955
2016-01-15,=0.0275,=0.0957
2016-01-08,=0.0284,=0.0949
2015-12-31,=0.0282,=0.0950
2015-12-25,=0.0281,=0.0939
2015-12-18,=0.0294,=0.0926
2015-12-11,=0.0299,=0.0920
2015-12-04,=0.0303,=0.0917
2015-11-30,,=0.0914
2015-11-27,=0.0306,=0.0929
2015-11-20,=0.0313,=0.0922
2015-11-13,=0.0313,=0.0922
2015-11-06,=0.0313,=0.0922
2015-10-31,,=0.0929
