日期,="沪深300.收盘点位",="宏观.中债-十年期收益率(右1)",="宏观.月度社会融资增长率 / 3.6

(右1)",="宏观.大陆 - M2增长率 / 3.28
"
2021-11-12,=4888.3700,=0.0294,,
2021-11-05,=4842.3500,=0.0289,,
2021-10-31,,,=0.0278,=0.0265
2021-10-29,=4908.7700,=0.0297,,
2021-10-22,=4959.7300,=0.0300,,
2021-10-15,=4932.1100,=0.0297,,
2021-10-09,,=0.0292,,
2021-10-08,=4929.9400,,,
2021-09-30,=4866.3800,=0.0288,=0.0278,=0.0253
2021-09-26,,=0.0288,,
2021-09-24,=4849.4300,,,
2021-09-18,,=0.0287,,
2021-09-17,=4855.9400,,,
2021-09-10,=5013.5200,=0.0287,,
2021-09-03,=4843.0600,=0.0283,,
2021-08-31,,,=0.0286,=0.0250
2021-08-27,=4827.0400,=0.0287,,
2021-08-20,=4769.2700,=0.0285,,
2021-08-13,=4945.9800,=0.0288,,
2021-08-06,=4921.5600,=0.0281,,
2021-07-31,,,=0.0297,=0.0253
2021-07-30,=4811.1700,=0.0284,,
2021-07-23,=5089.2300,=0.0291,,
2021-07-16,=5094.7700,=0.0294,,
2021-07-09,=5069.4400,=0.0301,,
2021-07-02,=5081.1200,=0.0308,,
2021-06-30,,,=0.0306,=0.0262
2021-06-25,=5239.9700,=0.0308,,
2021-06-18,=5102.4700,=0.0312,,
2021-06-11,=5224.7000,=0.0313,,
2021-06-04,=5282.2800,=0.0309,,
2021-05-31,,,=0.0306,=0.0253
2021-05-28,=5321.0900,=0.0308,,
2021-05-21,=5134.1500,=0.0309,,
2021-05-14,=5110.5900,=0.0314,,
2021-05-08,,=0.0316,,
2021-05-07,=4996.0500,,,
2021-04-30,=5123.4900,=0.0316,=0.0325,=0.0247
2021-04-25,,=0.0318,,
2021-04-23,=5135.4500,,,
2021-04-16,=4966.1800,=0.0316,,
2021-04-09,=5035.3400,=0.0321,,
2021-04-02,=5161.5600,=0.0320,,
2021-03-31,,,=0.0342,=0.0287
2021-03-26,=5037.9900,=0.0320,,
2021-03-19,=5007.0900,=0.0324,,
2021-03-12,=5146.3800,=0.0326,,
2021-03-05,=5262.8000,=0.0325,,
2021-02-28,,,=0.0369,=0.0308
2021-02-26,=5336.7600,=0.0328,,
2021-02-20,,=0.0326,,
2021-02-19,=5778.8400,,,
2021-02-10,=5807.7200,=0.0324,,
2021-02-07,,=0.0322,,
2021-02-05,=5483.4100,,,
2021-01-31,,,=0.0361,=0.0287
2021-01-29,=5351.9600,=0.0318,,
2021-01-22,=5569.7800,=0.0312,,
2021-01-15,=5458.0800,=0.0315,,
2021-01-08,=5495.4300,=0.0315,,
2020-12-31,=5211.2900,=0.0314,=0.0369,=0.0308
2020-12-25,=5042.0100,=0.0319,,
2020-12-18,=4999.9700,=0.0329,,
2020-12-11,=4889.6300,=0.0330,,
2020-12-04,=5065.9200,=0.0327,,
2020-11-30,,,=0.0378,=0.0326
2020-11-27,=4980.7700,=0.0330,,
2020-11-20,=4943.2900,=0.0331,,
2020-11-13,=4856.8500,=0.0327,,
2020-11-06,=4885.7200,=0.0321,,
2020-10-31,,,=0.0381,=0.0320
2020-10-30,=4695.3300,=0.0318,,
2020-10-23,=4718.4900,=0.0320,,
2020-10-16,=4791.6800,=0.0322,,
2020-10-10,,=0.0319,,
2020-10-09,=4681.1400,,,
2020-09-30,=4587.4000,=0.0315,=0.0375,=0.0332
2020-09-27,,=0.0313,,
2020-09-25,=4570.0200,,,
2020-09-18,=4737.0900,=0.0312,,
2020-09-11,=4627.2800,=0.0313,,
2020-09-04,=4770.2200,=0.0312,,
2020-08-31,,,=0.0369,=0.0317
2020-08-28,=4844.2700,=0.0307,,
2020-08-21,=4718.8400,=0.0298,,
2020-08-14,=4704.6300,=0.0294,,
2020-08-07,=4707.9300,=0.0299,,
2020-07-31,=4695.0500,=0.0297,=0.0358,=0.0326
2020-07-24,=4505.5900,=0.0286,,
2020-07-17,=4544.7000,=0.0295,,
2020-07-10,=4753.1300,=0.0303,,
2020-07-03,=4419.6000,=0.0290,,
2020-06-30,,,=0.0356,=0.0338
2020-06-28,,=0.0284,,
2020-06-24,=4138.9900,,,
2020-06-19,=4098.7100,=0.0288,,
2020-06-12,=4003.0800,=0.0275,,
2020-06-05,=4001.2500,=0.0285,,
2020-05-31,,,=0.0347,=0.0338
2020-05-29,=3867.0200,=0.0271,,
2020-05-22,=3824.0600,=0.0262,,
2020-05-15,=3912.8200,=0.0268,,
2020-05-09,,=0.0264,,
