日期,="沪深300.收盘点位",="格雷厄姆指数"
2015-11-13,=3746.2420,=1.4285
2015-11-06,=3793.3740,=1.4393
2015-10-30,=3534.0790,=1.5616
2015-10-23,=3571.2410,=1.6052
2015-10-16,=3534.0650,=1.5827
2015-10-10,,=1.6737
2015-10-09,=3340.1160,=1.6349
2015-09-30,=3202.9480,=1.7118
2015-09-25,=3231.9510,=1.6662
2015-09-18,=3251.2730,=1.6694
2015-09-11,=3347.1880,=1.5916
2015-09-06,,=1.6425
2015-09-02,=3365.8320,=1.6133
2015-08-28,=3342.2860,=1.5341

数据来源于：理杏仁网站(lixinger.com)
