日期,="上证指数.收盘点位",="宏观.新增自然人"
2020-08-28,=3403.8100,
2020-08-21,=3380.6800,
2020-08-14,=3360.1000,
2020-08-07,=3354.0400,
2020-07-31,=3310.0100,=2422300
2020-07-24,=3196.7700,
2020-07-17,=3214.1300,
2020-07-10,=3383.3200,
2020-07-03,=3152.8100,
2020-06-30,,=1547000
2020-06-24,=2979.5500,
2020-06-19,=2967.6300,
2020-06-12,=2919.7400,
2020-06-05,=2930.8000,
2020-05-31,,=1212500
2020-05-29,=2852.3500,
2020-05-22,=2813.7700,
2020-05-15,=2868.4600,
2020-05-08,=2895.3400,
2020-04-30,=2860.0800,=1637700
2020-04-24,=2808.5300,
2020-04-17,=2838.4900,
2020-04-10,=2796.6300,
2020-04-03,=2763.9900,
2020-03-31,,=1887500
2020-03-27,=2772.2000,
2020-03-20,=2745.6200,
2020-03-13,=2887.4300,
2020-03-06,=3034.5100,
2020-02-29,,=893200
2020-02-28,=2880.3000,
2020-02-21,=3039.6700,
2020-02-14,=2917.0100,
2020-02-07,=2875.9600,
2020-01-31,,=797500
2020-01-23,=2976.5300,
2020-01-17,=3075.5000,
2020-01-10,=3092.2900,
2020-01-03,=3083.7900,
2019-12-31,,=805900
2019-12-27,=3005.0400,
2019-12-20,=3004.9400,
2019-12-13,=2967.6800,
2019-12-06,=2912.0100,
2019-11-30,,=824400
2019-11-29,=2871.9800,
2019-11-22,=2885.2900,
2019-11-15,=2891.3400,
2019-11-08,=2964.1800,
2019-11-01,=2958.2000,
2019-10-31,,=792500
2019-10-25,=2954.9300,
2019-10-18,=2938.1400,
2019-10-11,=2973.6600,
2019-09-30,=2905.1900,=961200
2019-09-27,=2932.1700,
2019-09-20,=3006.4500,
2019-09-12,=3031.2400,
2019-09-06,=2999.6000,
2019-08-31,,=984700
2019-08-30,=2886.2400,
2019-08-23,=2897.4300,
2019-08-16,=2823.8200,
2019-08-09,=2774.7500,
2019-08-02,=2867.8400,
2019-07-31,,=1084100
2019-07-26,=2944.5400,
2019-07-19,=2924.2000,
2019-07-12,=2930.5500,
2019-07-05,=3011.0600,
2019-06-30,,=1054100
2019-06-28,=2978.8800,
2019-06-21,=3001.9800,
2019-06-14,=2881.9700,
2019-06-06,=2827.8000,
2019-05-31,=2898.7000,=1151600
2019-05-24,=2852.9900,
2019-05-17,=2882.3000,
2019-05-10,=2939.2100,
2019-04-30,=3078.3400,=1526500
2019-04-26,=3086.4000,
2019-04-19,=3270.8000,
2019-04-12,=3188.6300,
2019-04-04,=3246.5700,
2019-03-31,,=2018000
2019-03-29,=3090.7600,
2019-03-22,=3104.1500,
2019-03-15,=3021.7500,
2019-03-08,=2969.8600,
2019-03-01,=2994.0100,
2019-02-28,,=995200
2019-02-22,=2804.2300,
2019-02-15,=2682.3900,
2019-02-01,=2618.2300,
2019-01-31,,=1022700
2019-01-25,=2601.7200,
2019-01-18,=2596.0100,
2019-01-11,=2553.8300,
2019-01-04,=2514.8700,
2018-12-31,,=852900
2018-12-28,=2493.9000,
2018-12-21,=2516.2500,
2018-12-14,=2593.7400,
2018-12-07,=2605.8900,
2018-11-30,=2588.1900,=1049100
2018-11-23,=2579.4800,
2018-11-16,=2679.1100,
2018-11-09,=2598.8700,
2018-11-02,=2676.4800,
2018-10-31,,=907300
2018-10-26,=2598.8500,
2018-10-19,=2550.4700,
2018-10-12,=2606.9100,
2018-09-28,=2821.3500,
2018-09-21,=2797.4800,
2018-09-14,=2681.6400,
2018-09-07,=2702.3000,
2018-08-31,=2725.2500,
2018-08-24,=2729.4300,
2018-08-17,=2668.9700,
2018-08-10,=2795.3100,
2018-08-03,=2740.4400,
2018-07-27,=2873.5900,
2018-07-20,=2829.2700,
2018-07-13,=2831.1800,
2018-07-06,=2747.2300,
2018-06-29,=2847.4200,
2018-06-22,=2889.7600,
2018-06-15,=3021.9000,
2018-06-08,=3067.1500,
2018-06-01,=3075.1400,
2018-05-25,=3141.3000,
2018-05-18,=3193.3000,
2018-05-11,=3163.2600,
2018-05-04,=3091.0300,
2018-04-27,=3082.2300,
2018-04-20,=3071.5400,
2018-04-13,=3159.0500,
2018-04-04,=3131.1100,
2018-03-31,,=1556400
2018-03-30,=3168.9000,
2018-03-23,=3152.7600,
2018-03-16,=3269.8800,
2018-03-09,=3307.1700,
2018-03-02,=3254.5300,
2018-02-28,,=741000
2018-02-23,=3289.0200,
2018-02-14,=3199.1600,
2018-02-09,=3129.8500,
2018-02-02,=3462.0800,
2018-01-31,,=1225000
2018-01-26,=3558.1300,
2018-01-19,=3487.8600,
2018-01-12,=3428.9400,
2018-01-05,=3391.7500,
2017-12-31,,=969200
2017-12-29,=3307.1700,
2017-12-22,=3297.0600,
2017-12-15,=3266.1400,
2017-12-08,=3289.9900,
2017-12-01,=3317.6200,
2017-11-30,,=1216600
2017-11-24,=3353.8200,
2017-11-17,=3382.9100,
2017-11-10,=3432.6700,
2017-11-03,=3371.7400,
2017-10-31,,=962200
2017-10-27,=3416.8100,
2017-10-20,=3378.6500,
2017-10-13,=3390.5200,
2017-09-30,,=1324600
2017-09-29,=3348.9400,
2017-09-22,=3352.5300,
2017-09-15,=3353.6200,
2017-09-08,=3365.2400,
2017-09-01,=3367.1200,
2017-08-31,,=1510000
2017-08-25,=3331.5200,
2017-08-18,=3268.7200,
2017-08-11,=3208.5400,
2017-08-04,=3262.0800,
2017-07-31,,=1211400
2017-07-28,=3253.2400,
2017-07-21,=3237.9800,
2017-07-14,=3222.4200,
2017-07-07,=3217.9600,
2017-06-30,=3192.4300,=1327200
2017-06-23,=3157.8700,
2017-06-16,=3123.1700,
2017-06-09,=3158.4000,
2017-06-02,=3105.5400,
2017-05-31,,=1241700
2017-05-26,=3110.0600,
2017-05-19,=3090.6300,
2017-05-12,=3083.5100,
2017-05-05,=3103.0400,
2017-04-30,,=1280300
2017-04-28,=3154.6600,
2017-04-21,=3173.1500,
2017-04-14,=3246.0700,
2017-04-07,=3286.6200,
2017-03-31,=3222.5100,=2329800
2017-03-24,=3269.4500,
2017-03-17,=3237.4500,
2017-03-10,=3212.7600,
2017-03-03,=3218.3100,
2017-02-28,,=1512100
2017-02-24,=3253.4300,
2017-02-17,=3202.0800,
2017-02-10,=3196.7000,
2017-02-03,=3140.1700,
2017-01-31,,=952800
2017-01-26,=3159.1700,
2017-01-20,=3123.1400,
2017-01-13,=3112.7600,
2017-01-06,=3154.3200,
2016-12-31,,=1391900
2016-12-30,=3103.6400,
2016-12-23,=3110.1500,
2016-12-16,=3122.9800,
2016-12-09,=3232.8800,
2016-12-02,=3243.8400,
2016-11-30,,=1744200
2016-11-25,=3261.9400,
2016-11-18,=3192.8600,
2016-11-11,=3196.0400,
2016-11-04,=3125.3200,
2016-10-31,,=1307700
2016-10-28,=3104.2700,
2016-10-21,=3090.9400,
2016-10-14,=3063.8100,
2016-09-30,=3004.7000,=1850800
2016-09-23,=3033.9000,
2016-09-14,=3002.8500,
2016-09-09,=3078.8500,
2016-09-02,=3067.3500,
2016-08-31,,=2194800
2016-08-26,=3070.3100,
2016-08-19,=3108.1000,
2016-08-12,=3050.6700,
2016-08-05,=2976.7000,
2016-07-31,,=1302100
2016-07-29,=2979.3400,
2016-07-22,=3012.8200,
2016-07-15,=3054.3000,
2016-07-08,=2988.0900,
2016-07-01,=2932.4800,
2016-06-30,,=1417600
2016-06-24,=2854.2900,
2016-06-17,=2885.1100,
2016-06-08,=2927.1600,
2016-06-03,=2938.6800,
2016-05-31,,=1417800
2016-05-27,=2821.0500,
2016-05-20,=2825.4800,
2016-05-13,=2827.1100,
2016-05-06,=2913.2500,
2016-04-30,,=1547900
2016-04-29,=2938.3200,
2016-04-22,=2959.2400,
2016-04-15,=3078.1200,
2016-04-08,=2984.9600,
2016-04-01,=3009.5300,
2016-03-31,,=2288600
2016-03-25,=2979.4300,
2016-03-18,=2955.1500,
2016-03-11,=2810.3100,
2016-03-04,=2874.1500,
2016-02-29,,=1152200
2016-02-26,=2767.2100,
2016-02-19,=2860.0200,
2016-02-05,=2763.4900,
2016-01-31,,=1347200
2016-01-29,=2737.6000,
2016-01-22,=2916.5600,
2016-01-15,=2900.9700,
2016-01-08,=3186.4100,
2015-12-31,=3539.1800,=1413700
2015-12-25,=3627.9100,
2015-12-18,=3578.9600,
2015-12-11,=3434.5800,
2015-12-04,=3524.9900,
2015-11-30,,=1467100
2015-11-27,=3436.3000,
2015-11-20,=3630.5000,
2015-11-13,=3580.8400,
2015-11-06,=3590.0300,
2015-10-31,,=1064200
2015-10-30,=3382.5600,
2015-10-23,=3412.4300,
2015-10-16,=3391.3500,
2015-10-09,=3183.1500,
2015-09-30,=3052.7800,=1080700
2015-09-25,=3092.3500,
2015-09-18,=3097.9200,
2015-09-11,=3200.2300,
2015-09-02,=3160.1700,
2015-08-31,,=1365200
2015-08-28,=3232.3500,

数据来源于：理杏仁网站(lixinger.com)
