日期,="中证全指.收盘点位",="宏观.大陆-M1增长率(右1)",="宏观.大陆-M2增长率(右1)",="M1与M2剪刀差(单位: 元)"
2024-06-14,=4188.7824,,,
2024-06-07,=4192.8244,,,
2024-05-31,=4288.1103,=-0.0420,=0.0700,=0.1120
2024-05-24,=4302.1328,,,
2024-05-17,=4424.8129,,,
2024-05-10,=4425.0561,,,
2024-04-30,=4353.8816,=-0.0140,=0.0720,=0.0860
2024-04-26,=4305.3487,,,
2024-04-19,=4226.2189,,,
2024-04-12,=4235.3772,,,
2024-04-03,=4353.7389,,,
2024-03-31,,=0.0110,=0.0830,=0.0720
2024-03-29,=4310.6697,,,
2024-03-22,=4370.8471,,,
2024-03-15,=4372.0249,,,
2024-03-08,=4285.6193,,,
2024-03-01,=4286.5038,,,
2024-02-29,,=0.0120,=0.0870,=0.0750
2024-02-23,=4187.6097,,,
2024-02-08,=3985.3963,,,
2024-02-02,=3765.6602,,,
2024-01-31,,=0.0590,=0.0870,=0.0280
2024-01-26,=4142.7269,,,
2024-01-19,=4117.7214,,,
2024-01-12,=4230.0851,,,
2024-01-05,=4292.7876,,,
2023-12-31,,=0.0130,=0.0970,=0.0840
2023-12-29,=4421.9569,,,
2023-12-22,=4310.3902,,,
2023-12-15,=4390.0106,,,
2023-12-08,=4433.6740,,,
2023-12-01,=4531.1431,,,
2023-11-30,,=0.0130,=0.1000,=0.0870
2023-11-24,=4558.1807,,,
2023-11-17,=4602.6081,,,
2023-11-10,=4567.8864,,,
2023-11-03,=4523.6681,,,
2023-10-31,,=0.0190,=0.1030,=0.0840
2023-10-27,=4490.0996,,,
2023-10-20,=4402.6931,,,
2023-10-13,=4600.1303,,,
2023-09-30,,=0.0210,=0.1030,=0.0820
2023-09-28,=4621.4108,,,
2023-09-22,=4639.8568,,,
2023-09-15,=4625.1348,,,
2023-09-08,=4654.7461,,,
2023-09-01,=4690.2923,,,
2023-08-31,,=0.0220,=0.1060,=0.0840
2023-08-25,=4550.0167,,,
2023-08-18,=4683.6868,,,
2023-08-11,=4798.5827,,,
2023-08-04,=4967.3118,,,
2023-07-31,,=0.0230,=0.1070,=0.0840
2023-07-28,=4924.5186,,,
2023-07-21,=4791.5230,,,
2023-07-14,=4889.7442,,,
2023-07-07,=4831.1695,,,
2023-06-30,=4859.8924,=0.0310,=0.1130,=0.0820
2023-06-21,=4853.0233,,,
2023-06-16,=4965.4835,,,
2023-06-09,=4827.0025,,,
2023-06-02,=4877.5536,,,
2023-05-31,,=0.0470,=0.1160,=0.0690
2023-05-26,=4841.9347,,,
2023-05-19,=4916.9769,,,
2023-05-12,=4888.8439,,,
2023-05-05,=4976.5826,,,
2023-04-30,,=0.0530,=0.1240,=0.0710
2023-04-28,=4998.8052,,,
2023-04-21,=5003.5475,,,
2023-04-14,=5131.8160,,,
2023-04-07,=5162.8095,,,
2023-03-31,=5074.0260,=0.0510,=0.1270,=0.0760
2023-03-24,=5060.3370,,,
2023-03-17,=4967.6779,,,
2023-03-10,=4993.5126,,,
2023-03-03,=5161.7925,,,
2023-02-28,,=0.0580,=0.1290,=0.0710
2023-02-24,=5105.5950,,,
2023-02-17,=5054.7732,,,
2023-02-10,=5139.4296,,,
2023-02-03,=5143.6814,,,
2023-01-31,,=0.0670,=0.1260,=0.0590
2023-01-20,=5096.7804,,,
2023-01-13,=4959.1444,,,
2023-01-06,=4895.2398,,,
2022-12-31,,=0.0370,=0.1180,=0.0810
2022-12-30,=4756.6236,,,
2022-12-23,=4689.8204,,,
2022-12-16,=4897.9500,,,
2022-12-09,=4973.3481,,,
2022-12-02,=4893.8191,,,
2022-11-30,,=0.0460,=0.1240,=0.0780
2022-11-25,=4777.8814,,,
2022-11-18,=4842.8064,,,
2022-11-11,=4817.2420,,,
2022-11-04,=4808.2323,,,
2022-10-31,,=0.0580,=0.1180,=0.0600
2022-10-28,=4503.1431,,,
2022-10-21,=4706.9067,,,
2022-10-14,=4762.0177,,,
2022-09-30,=4631.6762,=0.0640,=0.1210,=0.0570
2022-09-23,=4750.7082,,,
2022-09-16,=4836.3739,,,
2022-09-09,=5087.4696,,,
2022-09-02,=4994.8094,,,
2022-08-31,,=0.0610,=0.1220,=0.0610
2022-08-26,=5109.4449,,,
2022-08-19,=5209.7247,,,
2022-08-12,=5228.8923,,,
2022-08-05,=5142.2675,,,
2022-07-31,,=0.0670,=0.1200,=0.0530
2022-07-29,=5174.9752,,,
2022-07-22,=5194.8944,,,
2022-07-15,=5133.3152,,,
2022-07-08,=5308.5241,,,
2022-07-01,=5336.1410,,,
2022-06-30,,=0.0580,=0.1140,=0.0560
2022-06-24,=5269.8087,,,
2022-06-17,=5165.7858,,,
2022-06-10,=5079.6942,,,
2022-06-02,=4931.2084,,,
2022-05-31,,=0.0460,=0.1110,=0.0650
2022-05-27,=4795.2924,,,
2022-05-20,=4857.2587,,,
2022-05-13,=4739.1925,,,
2022-05-06,=4580.5537,,,
2022-04-30,,=0.0510,=0.1050,=0.0540
2022-04-29,=4647.0227,,,
2022-04-22,=4718.9110,,,
2022-04-15,=4957.7195,,,
2022-04-08,=5077.9970,,,
2022-04-01,=5170.9790,,,
2022-03-31,,=0.0470,=0.0970,=0.0500
2022-03-25,=5103.0681,,,
2022-03-18,=5179.1397,,,
2022-03-11,=5248.1070,,,
2022-03-04,=5464.8654,,,
2022-02-28,,=0.0470,=0.0920,=0.0450
2022-02-25,=5536.7465,,,
2022-02-18,=5564.3812,,,
2022-02-11,=5471.5688,,,
2022-01-31,,=-0.0187,=0.0985,=0.1172
2022-01-28,=5405.9071,,,
2022-01-21,=5695.0172,,,
2022-01-14,=5746.2261,,,
2022-01-07,=5811.6127,,,
2021-12-31,=5969.8001,=0.0350,=0.0900,=0.0550
2021-12-24,=5896.6385,,,
2021-12-17,=5951.2860,,,
2021-12-10,=6008.6210,,,
2021-12-03,=5935.4012,,,
2021-11-30,,=0.0300,=0.0850,=0.0550
2021-11-26,=5876.0171,,,
2021-11-19,=5853.5697,,,
2021-11-12,=5821.3364,,,
2021-11-05,=5702.4807,,,
2021-10-31,,=0.0280,=0.0870,=0.0590
2021-10-29,=5740.2940,,,
2021-10-22,=5775.4387,,,
2021-10-15,=5740.9879,,,
2021-10-08,=5769.2936,,,
2021-09-30,=5723.4586,=0.0370,=0.0830,=0.0460
2021-09-24,=5807.9642,,,
2021-09-17,=5827.8096,,,
2021-09-10,=5980.3584,,,
2021-09-03,=5767.8760,,,
2021-08-31,,=0.0420,=0.0820,=0.0400
2021-08-27,=5757.1462,,,
2021-08-20,=5626.2403,,,
2021-08-13,=5804.7324,,,
2021-08-06,=5738.1969,,,
2021-07-31,,=0.0490,=0.0830,=0.0340
2021-07-30,=5607.7476,,,
2021-07-23,=5833.6449,,,
2021-07-16,=5795.5313,,,
2021-07-09,=5752.1130,,,
2021-07-02,=5687.2910,,,
2021-06-30,,=0.0550,=0.0860,=0.0310
2021-06-25,=5812.0835,,,
2021-06-18,=5669.4488,,,
2021-06-11,=5755.7328,,,
2021-06-04,=5768.9710,,,
2021-05-31,,=0.0610,=0.0830,=0.0220
2021-05-28,=5764.9983,,,
2021-05-21,=5582.6059,,,
2021-05-14,=5562.1592,,,
2021-05-07,=5445.0913,,,
2021-04-30,=5544.2558,=0.0620,=0.0810,=0.0190
2021-04-23,=5560.1726,,,
2021-04-16,=5420.6760,,,
2021-04-09,=5457.5934,,,
2021-04-02,=5524.6920,,,
2021-03-31,,=0.0710,=0.0940,=0.0230
2021-03-26,=5425.7543,,,
2021-03-19,=5389.6340,,,
2021-03-12,=5469.1625,,,
2021-03-05,=5607.5509,,,
2021-02-28,,=0.0740,=0.1010,=0.0270
2021-02-26,=5617.6694,,,
2021-02-19,=5977.4226,,,
2021-02-10,=5918.5922,,,
2021-02-05,=5628.4284,,,
2021-01-31,,=0.1470,=0.0940,=-0.0530
2021-01-29,=5615.5745,,,
2021-01-22,=5885.3459,,,
2021-01-15,=5740.2818,,,
2021-01-08,=5804.6007,,,
2020-12-31,=5621.7288,=0.0860,=0.1010,=0.0150
2020-12-25,=5485.7165,,,
2020-12-18,=5465.5814,,,
2020-12-11,=5371.6940,,,
2020-12-04,=5564.9277,,,
2020-11-30,,=0.1000,=0.1070,=0.0070
2020-11-27,=5470.4812,,,
2020-11-20,=5488.7726,,,
2020-11-13,=5402.7702,,,
2020-11-06,=5423.9631,,,
2020-10-31,,=0.0910,=0.1050,=0.0140
2020-10-30,=5241.1747,,,
2020-10-23,=5295.6172,,,
2020-10-16,=5424.6049,,,
2020-10-09,=5319.4489,,,
2020-09-30,=5189.3574,=0.0810,=0.1090,=0.0280
2020-09-25,=5187.2912,,,
2020-09-18,=5387.1105,,,
2020-09-11,=5256.6234,,,
2020-09-04,=5485.2751,,,
2020-08-31,,=0.0800,=0.1040,=0.0240
2020-08-28,=5541.3481,,,
2020-08-21,=5447.7167,,,
2020-08-14,=5431.5442,,,
2020-08-07,=5469.8144,,,
2020-07-31,=5409.4558,=0.0690,=0.1070,=0.0380
2020-07-24,=5169.0744,,,
2020-07-17,=5202.8155,,,
2020-07-10,=5452.8487,,,
2020-07-03,=5008.3497,,,
2020-06-30,,=0.0650,=0.1110,=0.0460
2020-06-24,=4748.3341,,,
2020-06-19,=4717.9050,,,
2020-06-12,=4596.9649,,,
2020-06-05,=4591.9647,,,
2020-05-31,,=0.0680,=0.1110,=0.0430
2020-05-29,=4439.0883,,,
2020-05-22,=4370.1505,,,
2020-05-15,=4491.4297,,,
2020-05-08,=4517.6819,,,
2020-04-30,=4426.3435,=0.0550,=0.1110,=0.0560
2020-04-24,=4351.5510,,,
2020-04-17,=4391.6037,,,
2020-04-10,=4319.3555,,,
2020-04-03,=4244.7389,,,
2020-03-31,,=0.0500,=0.1010,=0.0510
2020-03-27,=4257.7970,,,
2020-03-20,=4257.0007,,,
2020-03-13,=4494.5500,,,
2020-03-06,=4764.2397,,,
2020-02-29,,=0.0480,=0.0880,=0.0400
2020-02-28,=4492.9979,,,
2020-02-21,=4751.4600,,,
2020-02-14,=4487.7806,,,
2020-02-07,=4397.2108,,,
2020-01-31,,=0,=0.0840,=0.0840
2020-01-23,=4488.9669,,,
2020-01-17,=4637.2692,,,
2020-01-10,=4633.4242,,,
2020-01-03,=4576.5448,,,
2019-12-31,,=0.0440,=0.0870,=0.0430
2019-12-27,=4428.6846,,,
2019-12-20,=4426.5828,,,
2019-12-13,=4350.4704,,,
2019-12-06,=4280.5132,,,
2019-11-30,,=0.0350,=0.0820,=0.0470
2019-11-29,=4186.1794,,,
2019-11-22,=4212.9317,,,
2019-11-15,=4216.2924,,,
2019-11-08,=4329.0099,,,
2019-11-01,=4311.0529,,,
2019-10-31,,=0.0330,=0.0840,=0.0510
2019-10-25,=4289.7415,,,
2019-10-18,=4261.8293,,,
2019-10-11,=4322.1604,,,
2019-09-30,=4214.3958,=0.0340,=0.0840,=0.0500
2019-09-27,=4259.7785,,,
2019-09-20,=4398.2368,,,
2019-09-12,=4433.9333,,,
2019-09-06,=4376.6621,,,
2019-08-31,,=0.0340,=0.0820,=0.0480
2019-08-30,=4184.7843,,,
2019-08-23,=4201.7242,,,
2019-08-16,=4068.2487,,,
2019-08-09,=3971.5278,,,
2019-08-02,=4124.2850,,,
2019-07-31,,=0.0310,=0.0810,=0.0500
2019-07-26,=4231.3895,,,
2019-07-19,=4199.3162,,,
2019-07-12,=4198.0805,,,
2019-07-05,=4319.9519,,,
2019-06-30,,=0.0440,=0.0850,=0.0410
2019-06-28,=4244.0837,,,
2019-06-21,=4282.0683,,,
2019-06-14,=4086.1272,,,
2019-06-06,=3980.9375,,,
2019-05-31,=4123.5126,=0.0340,=0.0850,=0.0510
2019-05-24,=4056.5371,,,
2019-05-17,=4134.6304,,,
2019-05-10,=4226.0236,,,
2019-04-30,=4422.4888,=0.0290,=0.0850,=0.0560
2019-04-26,=4460.6782,,,
2019-04-19,=4756.5415,,,
2019-04-12,=4632.0095,,,
2019-04-04,=4727.6658,,,
2019-03-31,,=0.0460,=0.0860,=0.0400
2019-03-29,=4487.7157,,,
2019-03-22,=4499.5413,,,
2019-03-15,=4351.4316,,,
2019-03-08,=4249.7323,,,
2019-03-01,=4215.7026,,,
2019-02-28,,=0.0200,=0.0800,=0.0600
2019-02-22,=3968.8796,,,
2019-02-15,=3752.4651,,,
2019-02-01,=3596.0221,,,
2019-01-31,,=0.0040,=0.0840,=0.0800
2019-01-25,=3598.6022,,,
2019-01-18,=3598.4290,,,
2019-01-11,=3551.3318,,,
2019-01-04,=3470.2829,,,
2018-12-31,,=0.0150,=0.0810,=0.0660
2018-12-28,=3432.3847,,,
2018-12-21,=3472.6883,,,
2018-12-14,=3592.5240,,,
2018-12-07,=3634.5694,,,
2018-11-30,=3606.1017,=0.0150,=0.0800,=0.0650
2018-11-23,=3589.6716,,,
2018-11-16,=3763.2714,,,
2018-11-09,=3584.8802,,,
2018-11-02,=3666.5903,,,
2018-10-31,,=0.0270,=0.0800,=0.0530
2018-10-26,=3523.3511,,,
2018-10-19,=3454.3431,,,
2018-10-12,=3536.7650,,,
2018-09-30,,=0.0400,=0.0830,=0.0430
2018-09-28,=3890.8288,,,
2018-09-21,=3880.9235,,,
2018-09-14,=3737.7013,,,
2018-09-07,=3798.5822,,,
2018-08-31,=3842.1380,=0.0390,=0.0820,=0.0430
2018-08-24,=3854.9861,,,
2018-08-17,=3785.0125,,,
2018-08-10,=3979.6130,,,
2018-08-03,=3892.8847,,,
2018-07-31,,=0.0510,=0.0850,=0.0340
2018-07-27,=4144.3567,,,
2018-07-20,=4096.5190,,,
2018-07-13,=4105.0600,,,
2018-07-06,=3956.6167,,,
2018-06-30,,=0.0660,=0.0800,=0.0140
2018-06-29,=4127.9473,,,
2018-06-22,=4157.4647,,,
2018-06-15,=4380.6603,,,
2018-06-08,=4486.6335,,,
2018-06-01,=4488.9226,,,
2018-05-31,,=0.0600,=0.0830,=0.0230
2018-05-25,=4614.4738,,,
2018-05-18,=4685.8993,,,
2018-05-11,=4666.4965,,,
2018-05-04,=4571.3968,,,
2018-04-30,,=0.0720,=0.0830,=0.0110
2018-04-27,=4548.4216,,,
2018-04-20,=4556.7109,,,
2018-04-13,=4688.6227,,,
2018-04-04,=4676.6132,,,
2018-03-31,,=0.0710,=0.0820,=0.0110
2018-03-30,=4731.0301,,,
2018-03-23,=4604.8980,,,
2018-03-16,=4828.5021,,,
2018-03-09,=4876.4599,,,
2018-03-02,=4751.9418,,,
2018-02-28,,=0.0850,=0.0880,=0.0030
2018-02-23,=4709.7266,,,
2018-02-14,=4600.6075,,,
2018-02-09,=4457.4559,,,
2018-02-02,=4874.8097,,,
2018-01-31,,=0.1500,=0.0860,=-0.0640
2018-01-26,=5126.6116,,,
2018-01-19,=5036.9905,,,
2018-01-12,=5057.9085,,,
2018-01-05,=5020.4900,,,
2017-12-31,,=0.1180,=0.0820,=-0.0360
2017-12-29,=4898.9000,,,
2017-12-22,=4915.8000,,,
2017-12-15,=4889.4400,,,
2017-12-08,=4889.2322,,,
2017-12-01,=4929.9166,,,
2017-11-30,,=0.1270,=0.0910,=-0.0360
2017-11-24,=4973.5076,,,
2017-11-17,=5026.9865,,,
2017-11-10,=5145.6874,,,
2017-11-03,=5003.1744,,,
2017-10-31,,=0.1300,=0.0880,=-0.0420
2017-10-27,=5109.6773,,,
2017-10-20,=5036.9319,,,
2017-10-13,=5100.5458,,,
2017-09-30,,=0.1400,=0.0920,=-0.0480
2017-09-29,=5002.5525,,,
2017-09-22,=5001.3224,,,
2017-09-15,=5010.1514,,,
2017-09-08,=4993.1938,,,
2017-09-01,=4972.2475,,,
2017-08-31,,=0.1400,=0.0890,=-0.0510
2017-08-25,=4887.1137,,,
2017-08-18,=4845.8601,,,
2017-08-11,=4720.9176,,,
2017-08-04,=4782.9532,,,
2017-07-31,,=0.1530,=0.0920,=-0.0610
2017-07-28,=4790.2301,,,
2017-07-21,=4754.6099,,,
2017-07-14,=4781.4654,,,
2017-07-07,=4808.6278,,,
2017-06-30,=4772.1414,=0.1500,=0.0940,=-0.0560
2017-06-23,=4708.6208,,,
2017-06-16,=4661.4257,,,
2017-06-09,=4674.9350,,,
2017-06-02,=4536.5548,,,
2017-05-31,,=0.1700,=0.0960,=-0.0740
2017-05-26,=4569.9700,,,
2017-05-19,=4599.6106,,,
2017-05-12,=4540.4672,,,
2017-05-05,=4637.6782,,,
2017-04-30,,=0.1850,=0.1050,=-0.0800
2017-04-28,=4718.1300,,,
2017-04-21,=4768.2533,,,
2017-04-14,=4901.2318,,,
2017-04-07,=4970.4036,,,
2017-03-31,=4863.5100,=0.1880,=0.1060,=-0.0820
2017-03-24,=4962.3716,,,
2017-03-17,=4923.5308,,,
2017-03-10,=4894.7714,,,
2017-03-03,=4888.7789,,,
2017-02-28,,=0.2140,=0.1110,=-0.1030
2017-02-24,=4930.0642,,,
2017-02-17,=4831.8405,,,
2017-02-10,=4842.2997,,,
2017-02-03,=4748.2135,,,
2017-01-31,,=0.1450,=0.1130,=-0.0320
2017-01-26,=4770.4328,,,
2017-01-20,=4711.3067,,,
2017-01-13,=4741.0786,,,
2017-01-06,=4850.9355,,,
2016-12-31,,=0.2140,=0.1130,=-0.1010
2016-12-30,=4786.9800,,,
2016-12-23,=4786.6131,,,
2016-12-16,=4827.3542,,,
2016-12-09,=5006.6070,,,
2016-12-02,=5030.2717,,,
2016-11-30,,=0.2270,=0.1140,=-0.1130
2016-11-25,=5096.9340,,,
2016-11-18,=5022.1615,,,
2016-11-11,=5012.4720,,,
2016-11-04,=4919.6243,,,
2016-10-31,,=0.2390,=0.1160,=-0.1230
2016-10-28,=4890.5454,,,
2016-10-21,=4887.9086,,,
2016-10-14,=4865.1669,,,
2016-09-30,=4757.4047,=0.2470,=0.1150,=-0.1320
2016-09-23,=4790.9012,,,
2016-09-14,=4726.5048,,,
2016-09-09,=4852.0685,,,
2016-09-02,=4799.6202,,,
2016-08-31,,=0.2530,=0.1140,=-0.1390
2016-08-26,=4817.5706,,,
2016-08-19,=4882.4273,,,
2016-08-12,=4745.2062,,,
2016-08-05,=4653.3421,,,
2016-07-31,,=0.2540,=0.1020,=-0.1520
2016-07-29,=4652.7128,,,
2016-07-22,=4775.4995,,,
2016-07-15,=4824.8528,,,
2016-07-08,=4741.7503,,,
2016-07-01,=4644.6109,,,
2016-06-30,,=0.2460,=0.1180,=-0.1280
2016-06-24,=4505.9553,,,
2016-06-17,=4538.4980,,,
2016-06-08,=4587.3905,,,
2016-06-03,=4597.3410,,,
2016-05-31,,=0.2370,=0.1180,=-0.1190
2016-05-27,=4378.0913,,,
2016-05-20,=4374.1905,,,
2016-05-13,=4363.0503,,,
2016-05-06,=4537.6426,,,
2016-04-30,,=0.2290,=0.1280,=-0.1010
2016-04-29,=4564.6675,,,
2016-04-22,=4573.1799,,,
2016-04-15,=4799.4224,,,
2016-04-08,=4640.2027,,,
2016-04-01,=4639.5624,,,
2016-03-31,,=0.2210,=0.1340,=-0.0870
2016-03-25,=4600.6479,,,
2016-03-18,=4514.1641,,,
2016-03-11,=4203.8925,,,
2016-03-04,=4280.6192,,,
2016-02-29,,=0.1740,=0.1330,=-0.0410
2016-02-26,=4241.5910,,,
2016-02-19,=4466.1619,,,
2016-02-05,=4261.1126,,,
2016-01-31,,=0.1860,=0.1400,=-0.0460
2016-01-29,=4154.9111,,,
2016-01-22,=4474.6314,,,
2016-01-15,=4420.9880,,,
2016-01-08,=4874.6500,,,
2015-12-31,=5592.6390,=0.1520,=0.1330,=-0.0190
2015-12-25,=5716.5570,,,
2015-12-18,=5633.0210,,,
2015-12-11,=5335.8430,,,
2015-12-04,=5439.6520,,,
2015-11-30,,=0.1570,=0.1370,=-0.0200
2015-11-27,=5306.0710,,,
2015-11-20,=5592.7130,,,
2015-11-13,=5445.3620,,,
2015-11-06,=5401.9240,,,
2015-10-31,,=0.1400,=0.1350,=-0.0050
2015-10-30,=5090.6440,,,
2015-10-23,=5118.8440,,,
2015-10-16,=5036.5200,,,
2015-10-09,=4681.4080,,,
2015-09-30,=4460.0960,=0.1140,=0.1310,=0.0170
2015-09-25,=4463.4870,,,
2015-09-18,=4449.1780,,,
2015-09-11,=4657.6950,,,
2015-09-02,=4466.5670,,,
2015-08-31,,=0.0930,=0.1330,=0.0400
2015-08-28,=4764.9410,,,

数据来源于：理杏仁网站(lixinger.com)
