日期,="沪深300.PE-TTM(市值加权)",="宏观.中债-十年期收益率",="1 / 沪深300.PE-TTM(市值加权) / 宏观.中债 - 十年期收益率"
2018-09-07,=11.0172,=0.0363,=2.5004
2018-08-31,=11.1763,=0.0358,=2.5027
2018-08-24,=11.3927,=0.0362,=2.4247
2018-08-17,=11.1588,=0.0365,=2.4536
2018-08-10,=11.7154,=0.0355,=2.4027
2018-08-03,=11.4595,=0.0346,=2.5245
2018-07-27,=12.0142,=0.0352,=2.3638
2018-07-20,=11.8756,=0.0351,=2.3967
2018-07-13,=11.8942,=0.0349,=2.4119
2018-07-06,=11.5157,=0.0353,=2.4629
2018-06-29,=11.9163,=0.0348,=2.4145
2018-06-22,=12.2511,=0.0356,=2.2926
2018-06-15,=12.7091,=0.0360,=2.1840
2018-06-08,=12.5945,=0.0365,=2.1781
2018-06-01,=12.6365,=0.0362,=2.1860
2018-05-25,=12.8329,=0.0361,=2.1570
2018-05-18,=13.1992,=0.0371,=2.0422
2018-05-11,=13.0856,=0.0369,=2.0720
2018-05-04,=12.7369,=0.0363,=2.1617
2018-04-28,,=0.0362,=2.1501
2018-04-27,=12.8416,,=2.2113
2018-04-20,=12.9786,=0.0352,=2.1880
2018-04-13,=13.3775,=0.0371,=2.0170
2018-04-08,,=0.0370,=2.0344
2018-04-04,=13.2823,,=2.0127
2018-03-30,=13.5070,=0.0374,=1.9792
2018-03-23,=13.8871,=0.0370,=1.9459
2018-03-16,=14.4159,=0.0382,=1.8181
2018-03-09,=14.6566,=0.0383,=1.7824
2018-03-02,=14.4325,=0.0384,=1.8066
2018-02-24,,=0.0387,=1.7538
2018-02-23,=14.7523,,=1.7515
2018-02-14,=14.3366,=0.0387,=1.8023
2018-02-11,,=0.0388,=1.8419
2018-02-09,=14.0019,,=1.8269
2018-02-02,=15.6373,=0.0391,=1.6359
2018-01-26,=15.8618,=0.0394,=1.6015
2018-01-19,=15.4412,=0.0398,=1.6291
2018-01-12,=14.9490,=0.0393,=1.7005
2018-01-05,=14.6563,=0.0392,=1.7401
2017-12-31,,=0.0388,=1.8016
2017-12-29,=14.3035,,=1.8028
2017-12-22,=14.2290,=0.0388,=1.8123
2017-12-15,=13.9681,=0.0389,=1.8402
2017-12-08,=14.0171,=0.0391,=1.8245
2017-12-01,=14.0253,=0.0389,=1.8352
2017-11-24,=14.3730,=0.0395,=1.7630
2017-11-17,=14.3525,=0.0392,=1.7774
2017-11-10,=14.3216,=0.0390,=1.7904
2017-11-03,=14.1008,=0.0388,=1.8270
2017-10-27,=14.4222,=0.0383,=1.8120
2017-10-20,=14.4230,=0.0372,=1.8630
2017-10-13,=14.3457,=0.0367,=1.8973
2017-09-30,,=0.0361,=1.9579
2017-09-29,=14.1339,,=1.9540
2017-09-22,=14.1383,=0.0362,=1.9534
2017-09-15,=14.0409,=0.0360,=1.9793
2017-09-08,=14.1059,=0.0360,=1.9690
2017-09-01,=14.0857,=0.0364,=1.9529
2017-08-25,=14.3929,=0.0363,=1.9126
2017-08-18,=14.0175,=0.0360,=1.9844
2017-08-11,=13.7901,=0.0362,=2.0052
2017-08-04,=14.0500,=0.0363,=1.9628
2017-07-28,=14.0662,=0.0360,=1.9729
2017-07-21,=14.0060,=0.0358,=1.9927
2017-07-14,=13.8745,=0.0356,=2.0225
2017-07-07,=13.6959,=0.0359,=2.0340
2017-06-30,=13.7001,=0.0357,=2.0456
2017-06-23,=13.5859,=0.0355,=2.0759
2017-06-16,=13.2662,=0.0357,=2.1127
2017-06-09,=13.3683,=0.0363,=2.0605
2017-06-02,=13.1844,=0.0363,=2.0908
2017-05-27,,=0.0365,=2.0865
2017-05-26,=13.1311,,=2.1008
2017-05-19,=12.7641,=0.0362,=2.1612
2017-05-12,=12.7831,=0.0365,=2.1418
2017-05-05,=12.6719,=0.0356,=2.2172
2017-04-28,=13.0390,=0.0347,=2.2122
2017-04-21,=13.5577,=0.0346,=2.1309
2017-04-14,=13.6864,=0.0336,=2.1747
2017-04-07,=13.8141,=0.0330,=2.1959
2017-04-01,,=0.0327,=2.2600
2017-03-31,=13.5188,,=2.2740
2017-03-24,=13.6064,=0.0325,=2.2594
2017-03-17,=13.4751,=0.0331,=2.2404
2017-03-10,=13.4057,=0.0342,=2.1840
2017-03-03,=13.4403,=0.0336,=2.2162
2017-02-24,=13.6265,=0.0329,=2.2296
2017-02-17,=13.4372,=0.0333,=2.2341
