日期,成交金额-上海(亿元),成交金额-深圳(亿元),全部成交金额(亿元),融资买入额(亿元),融资买入额占比(%)
2015-04-30,174089.5,126547.95842714,300637.45842714,46482.57,15.461336801869328
2015-05-31,163910.87,148164.98701946,312075.85701946,41444.2,13.280168608946791
2015-06-30,200365.3,166247.5401,366612.84010000003,41555.799999999996,11.335063984301511
2015-07-31,161218.14,120223.0292,281441.1692,30441.5,10.816292472963475
2015-08-31,107950.48,97242.06411,205192.54411000002,22251.5,10.8442049376177
2015-09-30,56308.19,59810.006,116118.196,11546.9,9.944091794192186
2015-10-31,64279.18,86362.7568,150641.9368,16537.2,10.977819557614717
2015-11-30,92309.64,130962.6867,223272.3267,27056.399999999998,12.118116203605629
2015-12-31,72215.57,110172.6214,182388.1914,18700.5,10.25313089430635
2016-01-31,43460.68,64773.1909,108233.87090000001,8884.6,8.208705764768135
2016-02-29,30827.21,47358.1855,78185.3955,6464.1,8.267656585557594
2016-03-31,53789.0,80192.1329,133981.1329,12032.2,8.980518181601374
2016-04-30,42272.61,72080.98,114353.59,10146.2,8.872655419038441
2016-05-31,31736.73,58969.1603,90705.8903,7890.2,8.698663310512703
2016-06-30,37931.23,76793.395,114724.625,10276.3,8.957362031037363
2016-07-31,47371.44,79885.3438,127256.7838,12348.6,9.703687010829515
2016-08-31,44693.26,67073.705,111766.965,10827.1,9.687209454063641
2016-09-30,31625.92,51006.6547,82632.5747,7322.5,8.861517418021347
2016-10-31,30821.55,46424.1117,77245.6617,6979.8,9.03584725198878
2016-11-30,58917.24,77553.0361,136470.2761,13124.2,9.616892685395543
2016-12-31,44417.99,53870.0071,98287.99710000001,8515.0,8.663316225008312
2017-01-31,30703.58,36938.1371,67641.71710000001,4915.6,7.267112975167213
2017-02-28,37965.03,42870.64,80835.67,6606.9,8.17324827022526
2017-03-31,51129.25,64814.073,115943.323,8974.7,7.740592358216264
2017-04-30,42432.35,49650.1104,92082.4604,8270.8,8.981949400648292
2017-05-31,36229.45,45074.5052,81303.9552,6601.0,8.118916212332067
2017-06-30,36688.78,48069.8961,84758.6761,7496.9,8.844994217648003
