债券代码,债券简称,申购日期,申购代码,正股代码,正股简称,中签率,上市时间,信用评级,上市委通过日期,同意注册日期,上市委-申购,注册-申购,同意注册日期_开盘价,同意注册日期_收盘价,上市委通过日期_开盘价,上市委通过日期_收盘价,申购日期_开盘价,申购日期_收盘价,上市时间_开盘价,上市时间_收盘价
123242,赛龙转债,2024-07-08,371131,301131,聚赛龙,0.0008402282,2024-07-29,A+,2023-12-29,2024-02-06,192,153,28.260,28.880,48.540,50.500,35.660,33.340,34.190,33.950
123241,欧通转债,2024-07-05,370870,300870,欧陆通,0.0026145421,2024-07-26,AA-,2023-12-29,2024-02-07,189,149,28.220,27.480,43.210,44.270,38.400,39.510,37.320,38.210
113686,泰瑞转债,2024-07-02,754289,603289,泰瑞机器,0.00058458,2024-07-24,AA-,2024-02-03,2024-05-21,150,42,9.450,9.260,7.200,6.510,8.420,8.610,7.840,7.630
118048,利扬转债,2024-07-02,718135,688135,利扬芯片,0.00446186,2024-07-19,A+,2023-12-15,2024-03-01,200,123,18.100,18.020,22.340,22.460,15.010,14.790,14.650,15.780
113685,升24转债,2024-06-14,754305,603305,旭升集团,0.03292173,2024-07-10,AA-,2023-07-20,2024-05-15,330,30,13.850,13.530,26.730,25.660,12.050,12.210,10.160,10.370
111019,宏柏转债,2024-04-17,713366,605366,宏柏新材,0.00419888,2024-05-14,AA-,2023-10-10,2024-01-24,190,84,8.710,8.950,8.190,8.140,6.600,6.880,7.120,7.120
113684,湘泵转债,2024-04-01,754319,603319,美湖股份,0.00159843,2024-04-29,AA-,2023-08-19,2023-12-01 00:00:00,226,122,19.140,18.990,16.340,16.440,17.140,17.620,18.000,18.050
113683,伟24转债,2024-03-28,754568,603568,伟明环保,0.00033243,2024-04-22,AA,2023-12-14,2024-03-01,105,27,18.000,18.100,17.200,17.350,18.040,18.230,20.300,20.080
113682,益丰转债,2024-03-04,754939,603939,益丰药房,0.01059669,2024-03-27,AA,2023-11-18,2024-01-24 00:00:00,107,40,38.510,38.700,37.660,37.720,39.180,38.930,39.160,39.800
127105,龙星转债,2024-02-01,72442,2442,龙星科技,0.0054914743,2024-03-06,AA-,2023-11-18,2024-01-02 00:00:00,75,30,6.520,6.660,5.710,5.690,4.450,4.380,4.310,4.390
123240,楚天转债,2024-01-31,370358,300358,楚天科技,0.0043068188,2024-02-29,AA,2023-11-23,2024-01-02,69,29,10.800,10.690,11.830,11.940,8.370,8.120,8.820,9.080
127104,姚记转债,2024-01-25,72605,2605,姚记科技,0.0018660693,2024-02-26,A+,2023-04-13,2023-05-25,287,245,30.600,29.840,35.940,37.100,23.460,23.870,24.300,24.040
123239,锋工转债,2024-01-19,370488,300488,恒锋工具,0.0007342904,2024-02-22,A+,2023-11-24,2023-12-22,56,28,24.300,24.170,25.100,24.390,22.300,21.480,19.500,19.980
123238,卡倍转02,2024-01-11,370863,300863,卡倍亿,0.0008165958,2024-02-01,A+,2023-11-09,2023-12-18,63,24,48.480,50.600,51.100,50.420,45.880,46.810,35.310,35.160
123237,佳禾转债,2024-01-04,370793,300793,佳禾智能,0.0042312552,2024-01-24,A+,2022-12-12,2023-02-13,388,325,17.900,17.750,16.200,16.340,20.000,20.140,15.000,15.090
127103,东南转债,2024-01-03,72135,2135,东南网架,0.0063762297,2024-01-24,AA,2023-06-16,2023-08-28,201,128,6.340,6.170,6.510,6.600,5.450,5.480,4.960,5.130
